t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.010,0.000,,,
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.011,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.010,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.011,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.011,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.005,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.004,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.014,0.000,,,
1.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
1.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
1.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.012,0.000,,,
1.600,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.355,0.000,,,
1.700,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.024,0.000,,,
1.800,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.006,0.000,,,
1.900,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.007,0.000,,,
2.000,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.009,0.000,,,
2.100,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,1.792,0.000,,,
2.200,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.007,0.000,,,
2.300,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.023,0.000,,,
2.400,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.010,0.000,,,
2.500,28.52156415,77.57159219,-0.548,-0.460,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.130,1,0.179,0.153,,,
