t_s,x_m,y_m,v,k
19.294,-0.712,-0.325,1.951,1.000
19.393,-0.712,-0.325,2.027,1.000
19.494,-0.712,-0.325,2.059,1.000
19.593,-0.712,-0.325,2.095,1.000
19.694,-1.049,-0.808,2.367,1.000
19.794,-1.137,-1.028,2.376,1.000
19.893,-1.227,-1.251,2.397,1.000
19.994,-1.318,-1.477,2.419,1.000
20.093,-1.412,-1.712,2.477,1.000
20.194,-1.509,-1.954,2.539,1.000
20.294,-1.606,-2.195,2.562,1.000
20.393,-1.706,-2.445,2.613,1.000
20.494,-1.809,-2.699,2.660,1.000
20.593,-1.915,-2.963,2.724,1.000
20.694,-2.210,-3.933,3.005,1.000
20.794,-2.321,-4.208,2.988,1.000
20.893,-2.432,-4.486,2.990,1.000
20.994,-2.544,-4.765,2.996,1.000
21.093,-2.654,-5.038,2.975,1.000
21.194,-2.769,-5.325,3.024,1.000
21.294,-2.888,-5.622,3.093,1.000
21.393,-3.012,-5.929,3.185,1.000
21.494,-3.136,-6.237,3.243,1.000
21.593,-3.259,-6.544,3.272,1.000
21.694,-3.800,-7.589,3.472,1.000
21.794,-3.944,-7.913,3.510,1.000
21.893,-4.086,-8.233,3.509,1.000
21.994,-4.229,-8.555,3.516,1.000
22.093,-4.373,-8.879,3.537,1.000
22.194,-4.521,-9.210,3.594,1.000
22.294,-4.667,-9.541,3.611,1.000
22.393,-4.814,-9.872,3.615,1.000
22.494,-4.961,-10.201,3.611,1.000
22.593,-5.108,-10.533,3.628,1.000
22.694,-5.664,-11.258,3.736,1.000
22.794,-5.815,-11.596,3.705,1.000
22.893,-5.966,-11.937,3.728,1.000
22.994,-6.119,-12.281,3.764,1.000
23.093,-6.273,-12.628,3.791,1.000
23.194,-6.429,-12.979,3.833,1.000
23.294,-6.586,-13.332,3.862,1.000
23.393,-6.745,-13.690,3.914,1.000
23.494,-6.906,-14.052,3.963,1.000
23.593,-7.068,-14.415,3.974,1.000
23.694,-7.787,-14.968,4.049,1.000
23.794,-7.951,-15.337,4.044,1.000
23.893,-8.116,-15.708,4.059,1.000
23.994,-8.281,-16.080,4.067,1.000
24.093,-8.447,-16.453,4.087,1.000
24.194,-9.302,-17.969,4.156,1.000
24.294,-9.551,-18.301,4.157,1.000
24.393,-9.805,-18.639,4.215,1.000
24.494,-10.060,-18.977,4.235,1.000
24.593,-10.318,-19.320,4.290,1.000
24.694,-10.856,-19.883,4.357,1.000
24.794,-11.118,-20.231,4.355,1.000
24.893,-11.379,-20.578,4.342,1.000
24.994,-11.644,-20.930,4.404,1.000
25.093,-11.911,-21.285,4.437,1.000
25.194,-12.183,-21.647,4.507,1.000
25.294,-12.454,-22.007,4.506,1.000
25.393,-12.729,-22.372,4.552,1.000
25.494,-13.004,-22.737,4.565,1.000
25.593,-13.281,-23.106,4.599,1.000
25.694,-14.936,-24.397,4.679,1.000
25.794,-15.299,-24.688,4.663,1.000
25.893,-15.666,-24.983,4.694,1.000
25.994,-16.037,-25.280,4.732,1.000
26.093,-16.407,-25.578,4.745,1.000
26.194,-16.778,-25.876,4.755,1.000
26.294,-17.151,-26.175,4.769,1.000
26.393,-17.525,-26.475,4.788,1.000
26.494,-17.897,-26.774,4.776,1.000
26.593,-18.266,-27.070,4.749,1.000
26.694,-18.821,-27.494,4.839,1.000
26.794,-19.193,-27.793,4.795,1.000
26.893,-19.568,-28.094,4.800,1.000
26.994,-19.941,-28.394,4.795,1.000
27.093,-20.323,-28.700,4.850,1.000
27.194,-20.702,-29.005,4.855,1.000
27.294,-21.080,-29.308,4.851,1.000
27.393,-21.457,-29.610,4.839,1.000
27.494,-22.674,-30.411,4.877,1.000
27.593,-23.096,-30.640,4.833,1.000
27.694,-24.137,-30.041,4.904,1.000
27.794,-24.568,-30.274,4.901,1.000
27.893,-25.006,-30.511,4.952,1.000
27.994,-25.435,-30.744,4.913,1.000
28.093,-25.870,-30.980,4.928,1.000
28.194,-26.306,-31.216,4.949,1.000
28.294,-26.743,-31.453,4.964,1.000
28.393,-27.169,-31.684,4.897,1.000
28.494,-27.606,-31.921,4.935,1.000
28.593,-28.039,-32.155,4.931,1.000
28.694,-28.718,-32.170,4.912,1.000
28.794,-29.148,-32.403,4.895,1.000
28.893,-29.579,-32.637,4.899,1.000
28.994,-30.019,-32.875,4.960,1.000
29.093,-30.455,-33.111,4.958,1.000
29.194,-30.888,-33.346,4.942,1.000
29.294,-31.321,-33.581,4.934,1.000
29.393,-31.760,-33.818,4.966,1.000
29.494,-32.192,-34.053,4.938,1.000
29.593,-32.625,-34.287,4.928,1.000
29.694,-33.404,-34.105,4.915,1.000
29.794,-34.298,-34.537,4.940,1.000
29.893,-34.758,-34.708,4.916,1.000
29.994,-35.214,-34.877,4.877,1.000
30.093,-35.666,-35.044,4.836,1.000
30.194,-36.124,-35.214,4.870,1.000
30.294,-36.579,-35.383,4.862,1.000
30.393,-37.034,-35.551,4.850,1.000
30.494,-37.484,-35.718,4.818,1.000
30.593,-37.935,-35.886,4.810,1.000
30.694,-38.361,-36.315,4.786,1.000
30.794,-38.810,-36.481,4.785,1.000
30.893,-39.251,-36.645,4.718,1.000
30.994,-39.697,-36.810,4.753,1.000
31.093,-40.146,-36.976,4.778,1.000
31.194,-40.597,-37.144,4.801,1.000
31.294,-41.044,-37.309,4.776,1.000
31.393,-41.489,-37.474,4.752,1.000
31.494,-41.941,-37.642,4.808,1.000
31.593,-42.391,-37.809,4.801,1.000
31.694,-42.836,-38.194,4.786,1.000
31.794,-43.282,-38.359,4.761,1.000
31.893,-43.732,-38.526,4.796,1.000
31.994,-44.180,-38.692,4.780,1.000
32.093,-44.629,-38.859,4.787,1.000
32.194,-45.075,-39.024,4.766,1.000
32.294,-45.522,-39.190,4.766,1.000
32.394,-45.962,-39.353,4.720,1.000
32.493,-46.409,-39.518,4.747,1.000
32.593,-46.852,-39.683,4.737,1.000
32.694,-47.478,-39.625,4.812,1.000
32.794,-47.924,-39.790,4.777,1.000
32.894,-48.375,-39.958,4.801,1.000
32.993,-48.820,-40.123,4.766,1.000
33.093,-49.866,-40.380,4.776,1.000
33.194,-50.328,-40.471,4.741,1.000
33.294,-50.808,-40.565,4.814,1.000
33.394,-51.277,-40.657,4.801,1.000
33.493,-51.759,-40.751,4.855,1.000
33.593,-52.230,-40.843,4.829,1.000
33.694,-52.788,-40.804,4.880,1.000
33.794,-53.264,-40.897,4.860,1.000
33.894,-53.743,-40.991,4.872,1.000
33.993,-54.214,-41.084,4.836,1.000
34.093,-54.702,-41.179,4.904,1.000
34.194,-55.188,-41.274,4.930,1.000
34.294,-55.687,-41.372,5.008,1.000
34.394,-56.169,-41.466,4.958,1.000
34.493,-56.667,-41.564,5.017,1.000
34.593,-57.157,-41.660,5.006,1.000
34.694,-57.807,-41.113,4.995,1.000
34.794,-58.291,-41.208,4.960,1.000
34.894,-58.783,-41.305,4.988,1.000
34.993,-59.265,-41.399,4.947,1.000
35.093,-59.753,-41.495,4.962,1.000
35.194,-60.225,-41.587,4.883,1.000
35.294,-60.707,-41.681,4.898,1.000
35.394,-61.188,-41.776,4.896,1.000
35.493,-61.673,-41.871,4.925,1.000
35.593,-62.145,-41.963,4.862,1.000
35.694,-62.835,-40.975,4.806,1.000
35.794,-63.308,-41.068,4.816,1.000
35.894,-63.786,-41.161,4.850,1.000
35.993,-65.271,-41.138,4.783,1.000
36.093,-65.715,-40.959,4.780,1.000
36.194,-66.158,-40.781,4.778,1.000
