t_s,x_m,y_m,v,k
13.091,-0.014,-0.026,0.000,1.000
13.191,-0.013,-0.039,0.000,1.000
13.291,-0.013,-0.039,0.000,1.000
13.391,-0.013,-0.039,0.000,1.000
13.491,-0.013,-0.039,0.000,1.000
13.591,-0.013,-0.039,0.000,1.000
13.691,-0.013,-0.039,0.000,1.000
13.791,-0.013,-0.039,0.000,1.000
13.891,-0.013,-0.039,0.000,1.000
13.991,-0.013,-0.039,0.000,1.000
14.091,-0.013,-0.039,0.000,1.000
14.191,0.002,-0.045,0.000,1.000
14.291,0.002,-0.045,0.000,1.000
14.391,0.002,-0.045,0.000,1.000
14.491,0.002,-0.045,0.000,1.000
17.591,0.031,-0.053,0.024,1.000
17.691,0.031,-0.053,0.022,1.000
17.791,0.031,-0.053,0.027,1.000
17.891,0.031,-0.053,0.024,1.000
17.991,0.031,-0.053,0.023,1.000
18.091,0.031,-0.053,0.023,1.000
18.191,0.038,-0.053,0.029,1.000
18.291,0.038,-0.053,0.023,1.000
18.391,0.038,-0.053,0.022,1.000
18.491,0.038,-0.053,0.021,1.000
18.591,0.038,-0.053,0.023,1.000
18.691,0.038,-0.053,0.023,1.000
18.791,0.038,-0.053,0.015,1.000
18.891,0.038,-0.053,0.010,1.000
18.991,0.038,-0.053,0.031,1.000
19.091,0.038,-0.053,0.026,1.000
19.191,0.042,-0.063,0.025,1.000
19.291,0.042,-0.063,0.018,1.000
19.391,0.042,-0.063,0.016,1.000
19.491,0.042,-0.063,0.015,1.000
19.591,0.042,-0.063,0.009,1.000
19.691,0.042,-0.063,0.008,1.000
19.791,0.042,-0.063,0.012,1.000
19.891,0.042,-0.063,0.015,1.000
19.991,0.042,-0.063,0.012,1.000
20.091,0.042,-0.063,0.019,1.000
20.191,0.044,-0.065,0.032,1.000
20.291,0.044,-0.065,0.035,1.000
20.391,0.044,-0.065,0.040,1.000
20.491,0.044,-0.065,0.130,1.000
20.591,0.044,-0.065,0.202,1.000
20.691,0.044,-0.065,0.272,1.000
20.791,0.044,-0.065,0.321,1.000
20.891,0.044,-0.065,0.416,1.000
20.991,0.044,-0.065,0.408,1.000
21.091,0.044,-0.065,0.516,1.000
21.191,0.029,0.048,0.614,1.000
21.291,0.029,0.048,0.751,1.000
21.391,0.029,0.048,0.844,1.000
21.491,0.029,0.048,0.954,1.000
21.591,0.029,0.048,1.066,1.000
21.691,0.029,0.048,1.200,1.000
21.791,0.029,0.048,1.222,1.000
21.891,0.029,0.048,1.340,1.000
21.991,0.029,0.048,1.426,1.000
22.091,0.029,0.048,1.508,1.000
22.191,-0.096,0.235,1.619,1.000
