t_s,x_m,y_m,v,k
13.302,-0.008,0.008,0.000,1.000
13.602,-0.008,0.008,0.000,1.000
13.702,-0.008,0.008,0.000,1.000
13.802,-0.007,0.010,0.000,1.000
14.002,-0.007,0.010,0.000,1.000
14.202,-0.007,0.010,0.000,1.000
14.302,-0.007,0.010,0.000,1.000
14.402,-0.007,0.010,0.000,1.000
17.602,0.010,0.006,0.010,1.000
17.702,0.010,0.006,0.010,1.000
17.802,0.010,0.006,0.010,1.000
17.902,0.015,0.006,0.001,1.000
18.002,0.015,0.006,0.000,1.000
18.102,0.015,0.006,0.000,1.000
18.202,0.015,0.006,0.000,1.000
18.302,0.015,0.006,0.000,1.000
18.402,0.015,0.006,0.000,1.000
18.502,0.015,0.006,0.000,1.000
18.602,0.015,0.006,0.000,1.000
18.702,0.015,0.006,0.000,1.000
18.802,0.015,0.006,0.018,1.000
18.902,0.015,0.005,0.083,1.000
19.002,0.015,0.005,0.115,1.000
19.102,0.015,0.005,0.136,1.000
19.202,0.015,0.005,0.099,1.000
19.302,0.015,0.005,0.075,1.000
19.402,0.015,0.005,0.052,1.000
19.502,0.015,0.005,0.036,1.000
19.602,0.015,0.005,0.026,1.000
19.702,0.015,0.005,0.018,1.000
19.802,0.015,0.005,0.013,1.000
19.902,0.015,0.005,0.009,1.000
20.002,0.015,0.005,0.006,1.000
20.102,0.015,0.005,0.004,1.000
20.202,0.015,0.005,0.013,1.000
20.302,0.015,0.005,0.009,1.000
20.402,0.015,0.005,0.006,1.000
20.502,0.015,0.005,0.188,1.000
20.602,0.015,0.005,0.356,1.000
20.702,0.015,0.005,0.400,1.000
20.802,0.146,-0.043,1.005,1.000
20.902,0.146,-0.043,1.063,1.000
21.002,0.146,-0.043,1.305,1.000
21.102,0.146,-0.043,1.341,1.000
21.202,0.146,-0.043,1.370,1.000
21.302,0.146,-0.043,1.363,1.000
21.402,0.146,-0.043,1.360,1.000
21.502,0.146,-0.043,1.383,1.000
21.602,0.146,-0.043,1.384,1.000
21.702,0.146,-0.043,1.392,1.000
21.802,0.146,-0.043,1.365,1.000
21.902,0.504,-0.012,1.547,1.000
22.002,0.644,-0.068,1.483,1.000
22.102,0.781,-0.123,1.475,1.000
22.202,0.937,-0.185,1.618,1.000
22.302,1.106,-0.253,1.736,1.000
22.402,1.285,-0.325,1.841,1.000
22.502,1.475,-0.401,1.941,1.000
22.602,1.669,-0.479,2.011,1.000
22.702,1.865,-0.558,2.059,1.000
22.802,2.065,-0.638,2.105,1.000
22.902,2.760,-0.499,2.114,1.000
23.002,2.961,-0.580,2.142,1.000
23.102,3.168,-0.663,2.184,1.000
23.202,3.375,-0.746,2.207,1.000
23.302,3.584,-0.830,2.228,1.000
23.402,3.794,-0.914,2.242,1.000
23.502,4.005,-0.999,2.258,1.000
23.602,4.217,-1.084,2.271,1.000
23.702,4.429,-1.169,2.276,1.000
23.802,5.125,-0.774,2.206,1.000
23.902,5.327,-0.855,2.188,1.004
24.002,5.529,-0.936,2.183,1.004
24.102,5.730,-1.017,2.174,1.005
24.202,5.930,-1.097,2.169,1.005
24.302,6.134,-1.179,2.183,1.005
24.402,6.360,-1.270,2.301,1.002
24.502,6.576,-1.356,2.316,1.001
24.602,6.810,-1.450,2.413,0.999
24.702,7.043,-1.544,2.462,0.998
24.802,7.626,-1.690,2.673,1.023
24.902,7.878,-1.792,2.688,1.023
25.002,8.159,-1.904,2.791,1.023
25.102,8.440,-2.017,2.872,1.023
25.202,8.727,-2.132,2.950,1.023
25.302,9.016,-2.248,3.012,1.023
25.402,9.307,-2.365,3.060,1.023
25.502,9.592,-2.479,3.065,1.023
25.602,9.886,-2.597,3.105,1.023
25.702,10.177,-2.714,3.117,1.023
25.802,10.463,-2.828,3.104,1.023
25.902,10.861,-3.400,3.178,1.023
26.002,11.155,-3.517,3.169,1.023
26.102,11.445,-3.634,3.152,1.023
26.202,11.742,-3.753,3.174,1.023
26.302,12.042,-3.873,3.198,1.023
26.402,12.345,-3.995,3.228,1.023
26.502,12.649,-4.117,3.250,1.023
26.602,12.959,-4.241,3.288,1.023
26.702,13.267,-4.365,3.300,1.023
26.802,13.582,-4.491,3.342,1.023
26.902,14.023,-4.962,3.420,1.023
27.002,14.346,-5.091,3.444,1.023
27.102,14.668,-5.221,3.461,1.023
