t_s,x_m,y_m,v,k
13.389,-0.194,-0.040,0.000,1.000
13.489,-0.194,-0.040,0.000,1.000
14.189,-0.194,-0.040,0.000,1.000
14.389,-0.194,-0.040,0.000,1.000
17.589,0.097,-0.079,2.081,1.000
17.689,0.307,-0.298,2.384,1.000
17.789,0.532,-0.245,2.300,1.000
17.889,0.760,-0.197,2.327,1.000
17.989,0.987,-0.152,2.321,1.000
18.089,1.221,-0.107,2.367,1.000
18.189,1.456,-0.061,2.389,1.000
18.289,1.700,-0.013,2.455,1.000
18.389,1.940,0.036,2.448,1.000
18.489,2.184,0.087,2.477,1.000
18.589,2.425,0.140,2.474,1.000
18.689,2.057,-0.563,2.379,1.000
18.789,2.000,-0.800,2.461,1.000
18.889,1.936,-1.039,2.474,1.000
18.989,1.868,-1.271,2.438,1.000
19.089,1.796,-1.508,2.459,1.000
19.189,1.722,-1.729,2.382,1.000
19.289,1.647,-1.946,2.329,1.000
19.389,1.573,-2.157,2.283,1.000
19.489,1.498,-2.367,2.254,1.000
19.589,1.423,-2.579,2.253,1.000
19.689,0.958,-3.225,2.194,1.000
19.789,0.891,-3.428,2.161,1.000
19.889,0.821,-3.644,2.222,1.000
19.989,0.755,-3.852,2.200,1.000
20.089,0.689,-4.058,2.181,1.000
20.189,0.620,-4.266,2.186,1.000
20.289,0.552,-4.465,2.143,1.000
20.389,0.480,-4.668,2.146,1.000
20.489,0.406,-4.868,2.140,1.000
20.589,0.328,-5.066,2.136,1.000
20.689,-0.072,-5.627,2.227,1.000
20.789,-0.162,-5.829,2.218,1.000
20.889,-0.250,-6.029,2.195,1.000
20.989,-0.339,-6.233,2.215,1.000
21.089,-0.426,-6.433,2.197,1.000
21.189,-0.514,-6.635,2.200,1.000
21.289,-0.606,-6.846,2.257,1.000
21.389,-0.700,-7.055,2.280,1.000
21.489,-0.797,-7.270,2.325,1.000
21.589,-0.897,-7.486,2.359,1.000
21.689,-1.261,-8.026,2.460,1.000
21.789,-1.365,-8.251,2.473,0.996
21.889,-1.468,-8.476,2.472,0.996
21.989,-1.569,-8.699,2.459,0.997
