t_s,x_m,y_m,v,k
13.095,-0.303,-0.173,0.000,1.000
13.395,-0.312,-0.168,0.000,1.000
13.995,-0.312,-0.168,0.000,1.000
14.195,-0.312,-0.168,0.000,1.000
14.295,-0.312,-0.168,0.000,1.000
17.595,0.029,0.807,2.220,1.000
17.695,0.029,0.807,2.134,1.000
17.795,0.029,0.807,2.196,1.000
17.895,0.029,0.807,2.280,1.000
17.995,0.029,0.807,2.309,1.000
18.095,0.029,0.807,2.375,1.000
18.195,0.029,0.807,2.451,1.000
18.295,0.134,1.476,2.701,1.000
18.395,0.298,1.695,2.749,1.000
18.495,0.466,1.918,2.790,1.000
18.595,0.644,2.155,2.912,1.000
18.695,0.830,2.402,3.029,1.000
18.795,1.016,2.651,3.072,1.000
18.895,1.207,2.905,3.130,1.000
18.995,1.405,3.168,3.218,1.000
19.095,1.612,3.444,3.340,1.000
19.195,1.824,3.726,3.441,1.000
19.295,2.030,4.001,3.437,1.000
19.395,2.491,4.985,3.546,1.000
19.495,2.713,5.280,3.645,1.000
19.595,2.935,5.576,3.683,1.000
19.695,2.977,5.618,3.746,1.000
19.795,3.236,5.896,3.784,1.000
19.895,3.504,6.183,3.878,1.000
19.995,3.771,6.470,3.903,1.000
20.095,4.038,6.755,3.909,1.000
20.195,4.314,7.050,3.996,1.000
20.295,4.592,7.349,4.057,1.000
20.395,5.245,8.055,4.057,1.000
20.495,5.525,8.355,4.095,1.000
20.595,5.807,8.657,4.130,1.000
20.695,6.090,8.960,4.138,1.000
20.795,6.373,9.263,4.148,1.000
20.895,6.651,9.561,4.086,1.000
20.995,6.934,9.864,4.137,1.000
21.095,7.214,10.164,4.111,1.000
21.195,7.501,10.471,4.193,1.000
21.295,8.258,10.978,4.258,1.000
21.395,8.551,11.291,4.290,1.000
21.495,8.845,11.606,4.305,1.000
21.595,9.142,11.924,4.352,1.000
21.695,9.440,12.243,4.362,1.000
21.795,9.745,12.570,4.466,1.000
21.895,10.046,12.892,4.414,1.000
21.995,10.348,13.216,4.422,1.000
22.095,10.605,13.490,4.432,1.000
22.195,10.922,13.816,4.534,1.000
22.295,11.238,14.140,4.525,1.000
22.395,11.925,14.665,4.538,1.000
22.495,12.244,14.993,4.574,1.000
22.595,12.569,15.327,4.667,1.000
22.695,12.894,15.661,4.653,1.000
22.795,13.219,15.994,4.658,1.000
22.895,13.547,16.332,4.703,1.000
22.995,13.881,16.674,4.779,1.000
23.095,14.214,17.016,4.771,1.000
23.195,14.547,17.359,4.779,1.000
23.295,15.155,17.950,4.823,1.000
23.395,15.493,18.297,4.844,0.987
23.495,15.830,18.643,4.821,0.991
23.595,16.166,18.988,4.807,0.992
23.695,16.504,19.335,4.851,0.991
23.795,17.075,20.026,4.884,0.990
23.895,17.370,20.415,4.888,0.990
23.995,17.667,20.807,4.914,0.990
24.095,17.967,21.202,4.961,0.990
24.195,18.270,21.601,5.009,0.990
24.295,19.294,21.861,5.070,1.000
24.395,19.601,22.265,5.066,1.000
24.495,19.909,22.671,5.122,0.999
24.595,20.219,23.079,5.124,0.999
24.695,20.527,23.486,5.104,0.999
24.795,20.841,23.900,5.178,0.999
24.895,21.155,24.314,5.193,0.999
24.995,21.471,24.730,5.215,0.998
25.095,21.784,25.143,5.189,0.999
25.195,22.101,25.561,5.231,0.999
25.295,22.421,25.983,5.275,0.998
25.395,23.344,26.622,5.237,0.996
25.495,23.626,27.065,5.217,0.996
25.595,23.908,27.505,5.251,0.996
25.695,24.191,27.949,5.272,0.996
25.795,24.475,28.393,5.269,0.996
25.895,24.758,28.835,5.257,0.996
25.995,25.042,29.279,5.265,0.996
26.095,25.328,29.726,5.292,0.996
26.195,25.613,30.173,5.300,0.996
26.295,26.102,30.730,5.286,0.997
26.395,26.387,31.175,5.287,0.997
26.495,26.672,31.621,5.353,0.996
26.595,26.959,32.069,5.298,0.997
