t_s,x_m,y_m,v,k
21.197,3.472,7.422,2.968,1.000
21.297,3.672,7.636,2.948,1.000
21.397,3.872,7.850,2.937,1.000
21.497,4.203,8.411,2.877,1.000
21.597,4.399,8.620,2.866,1.000
21.697,4.595,8.830,2.871,1.000
21.797,4.791,9.040,2.872,1.000
21.897,4.990,9.253,2.900,1.000
21.997,5.190,9.467,2.919,1.000
22.097,5.390,9.681,2.922,1.000
22.197,5.590,9.896,2.931,1.000
22.297,5.785,10.105,2.888,1.000
22.397,5.982,10.316,2.889,1.000
22.497,6.174,10.889,2.855,1.000
22.597,6.368,11.097,2.849,1.000
22.697,6.563,11.305,2.850,1.000
22.797,6.761,11.518,2.885,1.000
22.897,6.956,11.726,2.864,1.000
22.997,7.154,11.939,2.891,1.000
23.097,7.347,12.145,2.853,1.000
23.197,7.542,12.354,2.853,1.000
23.297,7.730,12.555,2.798,1.000
23.397,7.923,12.762,2.821,1.000
23.497,8.006,13.368,2.825,1.000
23.597,8.201,13.578,2.850,1.000
23.697,8.394,13.784,2.830,1.000
23.797,8.591,13.995,2.870,1.000
23.897,8.786,14.204,2.859,1.000
23.997,8.985,14.417,2.892,1.000
24.097,9.184,14.630,2.906,1.000
24.197,9.385,14.845,2.930,1.000
24.297,9.585,15.060,2.935,1.000
24.397,9.740,15.227,2.935,1.000
24.497,9.864,15.781,2.912,1.000
24.597,10.070,15.992,2.938,1.000
24.697,10.274,16.202,2.930,1.000
24.797,10.479,16.413,2.939,1.000
24.897,10.683,16.622,2.928,1.000
24.997,10.890,16.835,2.953,1.000
25.097,11.100,17.050,2.984,1.000
25.197,11.307,17.263,2.976,1.000
25.297,11.509,17.470,2.925,1.000
25.397,11.712,17.679,2.915,1.000
25.497,11.996,18.060,2.962,1.000
25.597,12.205,18.275,2.986,1.000
25.697,12.415,18.490,3.002,1.000
25.797,12.622,18.704,2.986,1.000
25.897,12.834,18.921,3.021,1.000
25.997,13.047,19.140,3.043,1.000
26.097,13.262,19.360,3.065,1.000
26.197,13.474,19.579,3.051,1.000
26.297,13.687,19.797,3.046,1.000
26.397,13.905,20.020,3.098,1.000
26.497,14.300,20.276,3.061,1.000
26.597,14.505,20.487,2.975,1.000
26.697,14.712,20.698,2.962,1.000
26.797,14.919,20.912,2.971,1.000
26.897,15.131,21.129,3.016,1.000
26.997,15.342,21.345,3.016,1.000
27.097,15.769,21.840,2.990,1.000
27.197,15.953,22.082,3.023,1.000
27.297,16.136,22.323,3.030,1.000
27.397,16.315,22.559,2.980,1.000
27.497,16.777,22.731,2.997,1.000
27.597,16.960,22.973,3.025,1.000
27.697,17.147,23.219,3.077,1.000
27.797,17.330,23.460,3.038,1.000
27.897,17.513,23.701,3.025,1.000
27.997,17.701,23.949,3.086,1.000
28.097,17.887,24.194,3.079,1.000
28.197,18.072,24.439,3.077,1.000
28.297,18.262,24.688,3.117,1.000
28.397,18.448,24.934,3.096,1.000
28.497,19.097,24.980,3.149,1.000
28.597,19.287,25.231,3.150,1.000
28.697,19.480,25.485,3.180,1.000
28.797,19.672,25.738,3.186,1.000
28.897,19.867,25.995,3.214,1.000
28.997,20.062,26.252,3.222,1.000
29.097,20.257,26.509,3.228,1.000
29.197,20.450,26.764,3.199,1.000
29.297,20.646,27.022,3.234,1.000
29.397,20.840,27.278,3.214,1.000
29.497,21.473,27.345,3.291,1.000
29.597,21.668,27.603,3.241,1.000
29.697,21.865,27.862,3.245,1.000
29.797,22.232,28.400,3.227,1.000
29.897,22.407,28.674,3.247,1.000
29.997,22.580,28.945,3.221,1.000
30.097,22.755,29.219,3.246,1.000
30.197,22.929,29.490,3.224,1.000
30.297,23.106,29.768,3.282,1.000
30.397,23.284,30.047,3.301,1.000
30.497,23.822,30.185,3.311,1.000
30.597,23.998,30.460,3.268,1.000
30.697,24.174,30.735,3.262,1.000
30.797,24.348,31.007,3.233,1.000
30.897,24.520,31.277,3.213,1.000
30.997,24.691,31.543,3.174,1.000
31.097,24.862,31.812,3.183,1.000
31.197,25.032,32.078,3.163,1.000
31.297,25.203,32.345,3.170,1.000
31.397,25.374,32.612,3.171,1.000
31.497,25.759,32.845,3.258,1.000
31.597,25.935,33.121,3.268,1.000
31.697,26.112,33.397,3.275,1.000
31.797,26.284,33.667,3.225,1.000
31.897,26.462,33.945,3.271,1.000
31.997,26.640,34.224,3.297,1.000
32.097,26.821,34.506,3.338,1.000
32.197,27.214,35.178,3.327,1.000
32.297,27.368,35.479,3.360,1.000
32.397,27.518,35.771,3.310,1.000
32.497,27.691,36.103,3.263,1.000
32.597,27.837,36.387,3.213,1.000
32.697,27.984,36.673,3.214,1.000
32.797,28.131,36.960,3.222,1.000
32.897,28.280,37.251,3.250,1.000
32.997,28.425,37.534,3.206,1.000
33.097,28.570,37.816,3.187,1.000
33.197,28.710,38.091,3.127,1.000
33.297,28.856,38.376,3.172,1.000
33.397,29.000,38.656,3.153,1.000
33.497,29.243,38.947,3.201,1.000
33.597,29.392,39.238,3.240,1.000
33.697,29.539,39.524,3.228,1.000
33.797,29.684,39.808,3.202,1.000
33.897,29.827,40.087,3.166,1.000
33.997,29.969,40.363,3.129,1.000
34.097,30.113,40.645,3.153,1.000
34.197,30.259,40.929,3.171,1.000
34.297,30.400,41.204,3.128,1.000
34.397,30.544,41.485,3.144,1.000
34.497,30.673,41.823,3.133,1.000
34.597,30.820,42.109,3.180,1.000
34.697,30.962,42.387,3.149,1.000
34.797,31.106,42.668,3.151,1.000
34.897,31.251,42.951,3.167,1.000
34.997,31.396,43.233,3.169,1.000
35.097,31.536,43.507,3.121,1.000
35.197,31.681,43.789,3.146,1.000
35.297,31.824,44.070,3.149,1.000
35.397,31.970,44.353,3.166,1.000
35.497,32.099,44.681,3.139,1.000
35.597,32.243,44.962,3.150,1.000
35.697,32.390,45.250,3.198,1.000
35.797,32.539,45.541,3.245,1.000
35.897,32.684,45.824,3.205,1.000
35.997,32.830,46.109,3.205,1.000
36.097,32.979,46.400,3.239,1.000
36.197,33.132,46.697,3.300,1.000
36.297,33.280,46.987,3.276,1.000
36.397,33.431,47.282,3.298,1.000
36.497,33.660,48.152,3.301,1.000
36.597,33.777,48.464,3.321,1.000
36.697,33.893,48.771,3.292,1.000
36.797,34.008,49.078,3.278,1.000
36.897,34.123,49.384,3.277,1.000
36.997,34.239,49.693,3.291,1.000
37.097,34.354,49.999,3.278,1.000
37.197,34.470,50.309,3.296,1.000
37.297,34.589,50.623,3.341,1.000
37.397,34.707,50.939,3.368,1.000
37.497,34.873,51.229,3.321,1.000
37.597,34.989,51.540,3.317,1.000
37.697,35.107,51.852,3.333,1.000
37.797,35.224,52.165,3.338,1.000
37.897,35.341,52.475,3.323,1.000
37.997,35.458,52.788,3.334,1.000
38.097,35.574,53.096,3.302,1.000
38.197,35.688,53.401,3.266,1.000
38.297,35.804,53.707,3.275,1.000
38.397,35.920,54.017,3.302,1.000
38.497,36.284,54.226,3.307,1.000
38.597,36.400,54.534,3.293,1.000
38.697,36.514,54.838,3.258,1.000
38.797,36.627,55.139,3.226,1.000
38.897,36.742,55.446,3.269,1.000
38.997,36.857,55.752,3.263,1.000
39.097,36.971,56.054,3.238,1.000
39.197,37.087,56.363,3.284,1.000
39.297,37.202,56.670,3.279,1.000
39.397,37.315,56.972,3.238,1.000
39.497,37.549,57.220,3.225,1.000
39.597,37.662,57.521,3.216,1.000
39.697,37.774,57.819,3.194,1.000
39.797,37.885,58.116,3.178,1.000
39.897,37.997,58.414,3.176,1.000
39.997,38.110,58.714,3.199,1.000
40.097,38.224,59.018,3.233,1.000
40.197,38.338,59.321,3.238,1.000
40.297,38.451,59.622,3.221,1.000
40.397,38.566,59.927,3.250,1.000
40.497,38.734,60.207,3.248,1.000
40.597,38.849,60.512,3.258,1.000
40.697,38.962,60.814,3.226,1.000
40.797,39.076,61.119,3.250,1.000
40.897,39.190,61.421,3.233,1.000
40.997,39.304,61.725,3.242,1.000
41.097,39.419,62.032,3.270,1.000
41.197,39.534,62.337,3.264,1.000
41.297,39.645,62.633,3.187,1.000
41.397,39.113,61.581,3.189,1.000
41.497,39.267,61.862,3.202,1.000
41.597,39.461,62.114,3.181,1.000
41.697,39.653,62.364,3.163,1.000
41.797,39.846,62.615,3.165,1.000
41.897,40.040,62.867,3.174,1.000
41.997,40.234,63.119,3.180,1.000
42.097,40.429,63.374,3.202,1.000
42.197,40.625,63.628,3.208,1.000
42.297,40.822,63.884,3.223,1.000
42.397,41.022,64.144,3.265,1.000
42.497,40.622,64.911,3.204,1.000
42.597,40.817,65.164,3.191,1.000
42.697,41.013,65.419,3.211,1.000
42.797,41.206,65.671,3.182,1.000
42.897,41.399,65.922,3.168,1.000
42.997,41.595,66.176,3.203,1.000
43.097,41.790,66.429,3.195,1.000
43.197,41.984,66.683,3.195,1.000
43.297,42.179,66.935,3.191,1.000
43.397,42.374,67.190,3.204,1.000
43.497,42.095,67.864,3.239,1.000
43.597,42.292,68.119,3.224,1.000
43.697,42.488,68.374,3.217,1.000
43.797,42.685,68.631,3.241,1.000
43.897,42.884,68.889,3.252,1.000
43.997,43.081,69.145,3.235,1.000
44.097,43.277,69.401,3.228,1.000
44.197,43.475,69.658,3.241,1.000
44.297,43.675,69.918,3.269,1.000
44.397,43.871,70.174,3.231,1.000
44.497,43.845,70.649,3.230,1.000
44.597,44.045,70.910,3.278,1.000
44.697,44.245,71.170,3.280,1.000
44.797,44.441,71.425,3.268,1.000
44.897,44.640,71.683,3.264,1.000
44.997,44.841,71.944,3.285,1.000
45.097,45.049,72.213,3.375,1.000
45.197,45.256,72.481,3.385,1.000
45.297,45.464,72.751,3.402,1.000
45.397,45.674,73.023,3.436,1.000
45.497,45.873,73.367,3.475,1.000
45.597,46.085,73.642,3.481,1.000
45.697,45.746,73.355,3.520,1.000
45.797,46.019,73.570,3.490,1.000
45.897,46.296,73.788,3.512,1.000
45.997,46.572,74.006,3.517,1.000
46.097,46.852,74.227,3.550,1.000
46.197,47.140,74.454,3.632,1.000
46.297,47.428,74.681,3.658,1.000
46.397,47.720,74.911,3.699,1.000
46.497,47.606,75.777,3.710,1.000
46.597,47.892,76.003,3.667,1.000
46.697,48.184,76.233,3.702,1.000
46.797,48.478,76.465,3.731,1.000
46.897,48.771,76.696,3.733,1.000
46.997,49.065,76.928,3.744,1.000
47.097,49.352,77.154,3.679,1.000
47.197,49.645,77.385,3.710,1.000
47.297,49.940,77.618,3.742,1.000
47.397,50.236,77.851,3.763,1.000
47.497,50.534,78.087,3.793,1.000
47.597,50.833,78.322,3.803,1.000
