t_s,x_m,y_m,v,k
19.194,-0.712,-0.325,2.575,1.000
19.294,-0.712,-0.325,2.650,1.000
19.393,-0.712,-0.325,2.764,1.000
19.494,-0.712,-0.325,2.815,1.000
19.593,-0.712,-0.325,2.836,1.000
19.694,-1.049,-0.808,2.868,1.000
19.794,-1.158,-1.079,2.942,1.000
19.893,-1.269,-1.357,2.985,1.000
19.994,-1.383,-1.641,3.033,1.000
20.093,-1.501,-1.933,3.091,1.000
20.194,-1.623,-2.237,3.175,1.000
20.294,-1.744,-2.538,3.203,1.000
20.393,-1.869,-2.849,3.258,1.000
20.494,-2.000,-3.175,3.352,1.000
20.593,-2.136,-3.515,3.461,1.000
20.694,-2.424,-4.466,3.509,1.000
20.794,-2.559,-4.802,3.552,1.000
20.893,-2.690,-5.129,3.539,1.000
20.994,-2.826,-5.466,3.578,1.000
21.093,-2.956,-5.790,3.544,1.000
21.194,-3.096,-6.138,3.620,1.000
21.294,-3.236,-6.485,3.668,1.000
21.393,-3.379,-6.842,3.738,1.000
21.494,-3.613,-7.409,3.740,1.000
21.593,-3.766,-7.754,3.757,1.000
21.694,-4.210,-8.511,3.813,1.000
21.794,-4.367,-8.865,3.843,1.000
21.893,-4.524,-9.218,3.856,1.000
21.994,-4.683,-9.577,3.892,1.000
22.093,-4.848,-9.948,3.977,1.000
22.194,-5.012,-10.317,4.011,1.000
22.294,-5.175,-10.684,4.015,1.000
22.393,-5.337,-11.049,3.999,1.000
22.494,-5.501,-11.417,4.019,1.000
22.593,-5.663,-11.783,4.005,1.000
22.694,-6.184,-12.427,4.007,1.000
22.794,-6.346,-12.791,3.986,1.000
22.893,-6.507,-13.154,3.976,1.000
22.994,-6.668,-13.517,3.974,1.000
23.093,-6.828,-13.877,3.945,1.000
23.194,-6.989,-14.239,3.958,1.000
23.294,-7.152,-14.606,4.004,1.000
23.393,-7.316,-14.975,4.035,1.000
23.494,-7.484,-15.352,4.118,1.000
23.593,-7.652,-15.730,4.135,1.000
23.694,-8.329,-16.189,4.214,1.000
23.794,-8.500,-16.574,4.210,1.002
23.893,-9.383,-18.077,4.187,1.007
23.994,-9.635,-18.413,4.208,1.005
24.093,-9.890,-18.751,4.242,1.004
24.194,-10.148,-19.094,4.297,1.003
24.294,-10.407,-19.439,4.323,1.002
24.393,-10.670,-19.788,4.370,1.002
24.494,-10.933,-20.137,4.368,1.002
24.593,-11.197,-20.488,4.393,1.002
24.694,-11.694,-20.996,4.469,1.013
24.794,-11.962,-21.353,4.425,1.014
24.893,-12.233,-21.712,4.529,1.013
24.994,-12.505,-22.074,4.529,1.013
25.093,-12.782,-22.442,4.601,1.012
25.194,-13.061,-22.813,4.641,1.012
25.294,-13.346,-23.192,4.727,1.011
25.393,-13.628,-23.567,4.695,1.012
25.494,-14.991,-24.899,4.735,1.011
25.593,-15.353,-25.191,4.674,1.012
25.694,-16.082,-25.317,4.787,1.019
25.794,-16.457,-25.617,4.758,1.020
25.893,-16.829,-25.916,4.803,1.019
25.994,-17.205,-26.218,4.825,1.019
26.093,-17.586,-26.524,4.879,1.018
26.194,-17.965,-26.828,4.865,1.018
26.294,-18.351,-27.138,4.926,1.018
26.393,-18.730,-27.442,4.872,1.018
26.494,-19.113,-27.750,4.897,1.018
26.593,-19.490,-28.053,4.862,1.018
26.694,-19.990,-28.433,4.939,1.021
26.794,-20.381,-28.747,4.852,1.023
26.893,-20.761,-29.052,4.912,1.022
26.994,-21.143,-29.359,4.901,1.022
27.093,-21.529,-29.669,4.939,1.022
27.194,-22.755,-30.455,4.912,1.022
27.294,-23.188,-30.690,4.920,1.022
27.393,-23.615,-30.921,4.879,1.022
27.494,-24.045,-31.154,4.884,1.022
27.593,-24.460,-31.379,4.795,1.022
27.694,-25.446,-30.750,4.845,1.025
27.794,-25.873,-30.982,4.837,1.026
27.893,-26.298,-31.212,4.837,1.026
27.994,-26.723,-31.442,4.825,1.026
28.093,-27.149,-31.673,4.844,1.026
28.194,-27.571,-31.902,4.811,1.026
28.294,-27.998,-32.133,4.839,1.026
28.393,-28.422,-32.363,4.826,1.026
28.494,-28.850,-32.595,4.855,1.026
28.593,-29.274,-32.825,4.833,1.026
28.694,-29.856,-32.787,4.802,1.025
28.794,-30.278,-33.015,4.804,1.025
28.893,-30.700,-33.244,4.822,1.025
28.994,-31.124,-33.474,4.840,1.025
29.093,-31.549,-33.704,4.825,1.025
29.194,-31.981,-33.938,4.895,1.025
29.294,-32.409,-34.170,4.878,1.025
29.393,-32.838,-34.403,4.880,1.025
29.494,-33.268,-34.636,4.887,1.025
29.593,-34.236,-35.080,4.910,1.025
29.694,-34.977,-34.789,4.948,1.028
29.794,-35.440,-34.960,4.955,1.028
29.893,-35.905,-35.133,4.941,1.028
29.994,-36.369,-35.305,4.969,1.028
30.093,-36.836,-35.478,4.980,1.028
30.194,-37.305,-35.652,5.006,1.028
30.294,-37.774,-35.826,5.004,1.028
30.393,-38.244,-36.000,5.014,1.028
30.494,-38.715,-36.175,5.024,1.028
30.593,-39.190,-36.351,5.057,1.028
30.694,-39.481,-36.730,4.951,1.024
30.794,-39.944,-36.901,4.967,1.023
30.893,-40.409,-37.074,4.980,1.023
30.994,-40.877,-37.248,5.021,1.023
31.093,-41.350,-37.423,5.054,1.023
31.194,-41.823,-37.598,5.036,1.023
31.294,-42.297,-37.774,5.058,1.023
31.393,-42.771,-37.950,5.062,1.023
31.494,-43.244,-38.125,5.045,1.023
31.593,-43.717,-38.301,5.045,1.023
31.694,-44.038,-38.639,5.017,1.020
31.794,-44.513,-38.816,4.987,1.020
31.893,-44.981,-38.989,4.991,1.020
31.994,-45.448,-39.162,4.979,1.020
32.093,-45.920,-39.337,5.039,1.020
32.194,-46.391,-39.512,5.018,1.020
32.294,-46.854,-39.683,4.948,1.020
32.394,-47.315,-39.854,4.929,1.020
32.493,-47.778,-40.026,4.934,1.020
32.593,-48.237,-40.196,4.911,1.020
32.694,-48.797,-40.114,4.929,1.020
32.794,-49.857,-40.379,4.924,1.020
32.894,-50.340,-40.473,4.927,1.020
32.993,-50.824,-40.568,4.930,1.020
33.093,-51.306,-40.662,4.912,1.020
33.194,-51.787,-40.757,4.902,1.020
33.294,-52.269,-40.851,4.907,1.020
33.394,-52.748,-40.945,4.890,1.020
33.493,-53.232,-41.039,4.914,1.020
33.593,-53.720,-41.135,4.953,1.020
33.694,-54.157,-41.072,4.956,1.018
33.794,-54.644,-41.168,4.955,1.018
33.894,-55.132,-41.263,4.923,1.018
33.993,-55.615,-41.358,4.932,1.018
34.093,-56.102,-41.453,4.964,1.018
34.194,-56.590,-41.549,4.975,1.018
34.294,-57.078,-41.644,4.971,1.018
34.394,-57.568,-41.740,4.990,1.018
34.493,-58.060,-41.837,5.008,1.018
34.593,-58.555,-41.934,5.034,1.018
34.694,-58.960,-41.339,4.967,1.013
34.794,-59.450,-41.435,4.952,1.013
34.894,-59.938,-41.531,4.911,1.013
34.993,-60.419,-41.625,4.897,1.013
35.093,-60.901,-41.719,4.910,1.013
35.194,-61.381,-41.813,4.900,1.013
35.294,-61.862,-41.908,4.897,1.013
35.394,-62.346,-42.002,4.923,1.013
35.493,-62.834,-42.098,4.967,1.013
35.593,-63.312,-42.192,4.879,1.013
35.694,-63.784,-41.161,4.759,1.008
35.794,-65.272,-41.137,4.751,1.008
35.894,-65.713,-40.960,4.768,1.008
35.993,-66.153,-40.783,4.714,1.008
36.093,-66.585,-40.609,4.667,1.009
