t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed_raw,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
1.9900,CALIB,-0.3364,-1.2255,0.0000,1.1313,315.1060,-46.0254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3364,-1.2255,0.0000,-0.3364,-1.2255,0.0000,-0.3364,-1.2255,0.0000,0.0000
2.0900,CALIB,-0.3364,-1.2255,0.0000,1.1313,315.0328,-46.0985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3364,-1.2255,0.0000,-0.3364,-1.2255,0.0000,-0.3364,-1.2255,0.0000,0.0000
2.1900,CALIB,-0.3364,-1.2255,0.0000,1.1313,314.9502,-46.1811,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3364,-1.2255,0.0000,-0.3364,-1.2255,0.0000,-0.3364,-1.2255,0.0000,0.0000
2.2900,CALIB,-0.3361,-1.2200,0.0000,1.1313,314.8501,-46.2812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3361,-1.2200,0.0000,-0.3361,-1.2200,0.0000,-0.3361,-1.2200,0.0000,0.0000
2.3900,CALIB,-0.3353,-1.2106,0.0000,1.1313,314.7284,-46.4030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3353,-1.2106,0.0000,-0.3353,-1.2106,0.0000,-0.3353,-1.2106,0.0000,0.0000
2.4900,CALIB,-0.3338,-1.1985,0.0000,1.1313,314.6279,-46.5034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3338,-1.1985,0.0000,-0.3338,-1.1985,0.0000,-0.3338,-1.1985,0.0000,0.0000
2.5900,CALIB,-0.3317,-1.1842,0.0000,1.1313,314.5480,-46.5833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3317,-1.1842,0.0000,-0.3317,-1.1842,0.0000,-0.3317,-1.1842,0.0000,0.0000
2.6900,CALIB,-0.3291,-1.1678,0.0000,1.1313,314.4931,-46.6382,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3291,-1.1678,0.0000,-0.3291,-1.1678,0.0000,-0.3291,-1.1678,0.0000,0.0000
2.7900,CALIB,-0.3260,-1.1497,0.0000,1.1313,314.5545,-46.5768,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3260,-1.1497,0.0000,-0.3260,-1.1497,0.0000,-0.3260,-1.1497,0.0000,0.0000
2.8900,CALIB,-0.3225,-1.1300,0.0000,1.1313,314.6558,-46.4756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3225,-1.1300,0.0000,-0.3225,-1.1300,0.0000,-0.3225,-1.1300,0.0000,0.0000
2.9900,CALIB,-0.3186,-1.1090,0.0000,1.1313,314.6607,-46.4707,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3186,-1.1090,0.0000,-0.3186,-1.1090,0.0000,-0.3186,-1.1090,0.0000,0.0000
3.0900,CALIB,-0.3143,-1.0871,0.0000,1.1313,314.6542,-46.4772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3143,-1.0871,0.0000,-0.3143,-1.0871,0.0000,-0.3143,-1.0871,0.0000,0.0000
3.1900,CALIB,-0.3097,-1.0643,0.0000,1.1313,314.6173,-46.5140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3097,-1.0643,0.0000,-0.3097,-1.0643,0.0000,-0.3097,-1.0643,0.0000,0.0000
3.2900,CALIB,-0.3022,-1.0386,0.0000,1.1313,314.6202,-46.5111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3022,-1.0386,0.0000,-0.3022,-1.0386,0.0000,-0.3022,-1.0386,0.0000,0.0000
3.3900,CALIB,-0.2883,-1.0062,0.0000,1.1313,314.6223,-46.5090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2883,-1.0062,0.0000,-0.2883,-1.0062,0.0000,-0.2883,-1.0062,0.0000,0.0000
3.4900,CALIB,-0.2694,-0.9687,0.0000,1.1313,314.6421,-46.4893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2694,-0.9687,0.0000,-0.2694,-0.9687,0.0000,-0.2694,-0.9687,0.0000,0.0000
3.5900,CALIB,-0.2469,-0.9274,0.0000,1.1313,314.6553,-46.4760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2469,-0.9274,0.0000,-0.2469,-0.9274,0.0000,-0.2469,-0.9274,0.0000,0.0000
