t_s,x_m,y_m,v,k
13.188,0.178,-0.030,0.000,1.000
13.288,0.178,-0.030,0.000,1.000
13.488,0.181,-0.032,0.000,1.000
13.688,0.181,-0.032,0.000,1.000
13.888,0.181,-0.032,0.000,1.000
13.988,0.181,-0.032,0.000,1.000
14.288,0.181,-0.032,0.000,1.000
14.388,0.179,-0.029,0.000,1.000
17.588,0.209,0.401,1.326,1.000
17.688,0.209,0.401,1.404,1.000
17.788,0.209,0.401,1.534,1.000
17.888,0.209,0.401,1.611,1.000
17.988,0.209,0.401,1.685,1.000
18.088,0.209,0.401,1.787,1.000
18.188,0.209,0.401,1.907,1.000
18.288,0.209,0.401,2.045,1.000
18.388,-0.040,0.707,2.460,1.000
18.488,0.109,0.906,2.496,1.000
18.588,0.261,1.109,2.533,1.000
18.688,0.421,1.321,2.627,1.000
18.788,0.581,1.535,2.651,1.000
18.888,0.748,1.757,2.730,1.000
18.988,0.917,1.982,2.771,1.000
19.088,1.091,2.214,2.842,1.000
19.188,1.268,2.450,2.896,1.000
19.288,1.448,2.689,2.945,1.000
19.388,1.864,3.615,3.126,1.000
19.488,2.052,3.865,3.131,1.000
19.588,2.236,4.110,3.091,1.000
19.688,2.424,4.360,3.107,1.000
19.788,2.613,4.612,3.132,1.000
19.888,2.803,4.865,3.152,1.000
19.988,2.992,5.116,3.144,1.000
20.088,3.187,5.376,3.204,1.000
20.188,3.377,5.629,3.183,1.000
20.288,3.576,5.894,3.251,1.000
20.388,3.897,6.428,3.498,1.000
20.488,4.138,6.686,3.518,1.000
20.588,4.379,6.944,3.526,1.000
20.688,4.622,7.205,3.548,1.000
20.788,4.869,7.470,3.590,1.000
20.888,5.121,7.739,3.644,1.000
20.988,5.376,8.012,3.691,1.000
21.088,5.632,8.286,3.723,1.000
21.188,5.889,8.562,3.746,1.000
21.288,6.148,8.839,3.767,1.000
21.388,7.116,9.329,4.008,1.000
21.488,7.392,9.624,4.029,1.000
21.588,7.673,9.925,4.074,1.000
21.688,7.953,10.225,4.095,1.000
21.788,8.238,10.530,4.134,1.000
21.888,8.526,10.839,4.179,1.000
21.988,8.821,11.154,4.246,1.000
22.088,9.112,11.466,4.256,1.000
22.188,9.411,11.787,4.319,1.000
22.288,9.713,12.110,4.365,1.000
22.388,10.517,12.782,4.619,1.000
22.488,10.829,13.116,4.593,1.000
22.588,11.152,13.462,4.668,1.000
22.688,11.408,13.736,4.641,1.000
22.788,11.737,14.074,4.685,1.000
22.888,12.053,14.399,4.599,1.000
22.988,12.378,14.732,4.630,1.000
23.088,12.697,15.060,4.598,1.000
23.188,13.026,15.398,4.666,1.000
23.288,13.345,15.725,4.610,1.000
23.388,13.527,16.948,4.817,1.000
23.488,13.861,17.291,4.798,1.000
23.588,14.206,17.645,4.890,1.000
23.688,14.541,17.989,4.834,1.000
23.788,14.891,18.349,4.945,1.000
23.888,15.237,18.704,4.954,1.000
23.988,15.587,19.064,4.996,1.000
24.088,15.932,19.418,4.960,1.000
24.188,16.286,19.781,5.029,1.000
24.288,16.644,20.149,5.087,1.000
24.388,18.010,20.905,5.285,1.000
24.488,18.323,21.319,5.224,1.000
24.588,18.643,21.739,5.257,1.000
24.688,18.969,22.170,5.334,1.000
24.788,19.291,22.594,5.332,1.000
24.888,19.610,23.015,5.306,1.000
24.988,19.933,23.441,5.326,1.000
25.088,20.264,23.877,5.394,1.000
25.188,20.585,24.300,5.355,1.000
25.288,20.911,24.730,5.374,1.000
25.388,22.244,25.084,5.715,1.000
25.488,22.593,25.543,5.737,1.000
25.588,22.936,25.995,5.712,1.000
