t_s,x_m,y_m,v,k
18.494,-0.208,-0.137,1.341,1.000
18.593,-0.208,-0.137,1.391,1.000
18.694,-0.712,-0.325,1.715,1.000
18.794,-0.712,-0.325,1.665,1.000
18.893,-0.712,-0.325,1.649,1.000
18.994,-0.712,-0.325,1.658,1.000
19.093,-0.712,-0.325,1.748,1.000
19.194,-0.712,-0.325,1.802,1.000
19.294,-0.712,-0.325,1.882,1.000
19.393,-0.712,-0.325,1.966,1.000
19.494,-0.712,-0.325,2.051,1.000
19.593,-0.712,-0.325,2.063,1.000
19.694,-1.049,-0.808,2.260,1.000
19.794,-1.132,-1.016,2.217,1.000
19.893,-1.216,-1.224,2.245,1.000
19.994,-1.302,-1.438,2.285,1.000
20.093,-1.390,-1.657,2.336,1.000
20.194,-1.481,-1.883,2.386,1.000
20.294,-1.574,-2.114,2.440,1.000
20.393,-1.666,-2.345,2.461,1.000
20.494,-1.760,-2.579,2.488,1.000
20.593,-1.858,-2.822,2.547,1.000
20.694,-2.145,-3.770,2.836,1.000
20.794,-2.249,-4.029,2.812,1.000
20.893,-2.355,-4.294,2.831,1.000
20.994,-2.464,-4.564,2.870,1.000
21.093,-2.571,-4.832,2.878,1.000
21.194,-2.681,-5.105,2.913,1.000
21.294,-2.797,-5.393,3.005,1.000
21.393,-2.915,-5.688,3.097,1.000
21.494,-3.034,-5.984,3.142,1.000
21.593,-3.152,-6.278,3.159,1.000
21.694,-3.688,-7.337,3.386,1.000
21.794,-3.826,-7.647,3.392,1.000
21.893,-3.964,-7.958,3.395,1.000
21.994,-4.103,-8.271,3.415,1.000
22.093,-4.246,-8.594,3.497,1.000
22.194,-4.391,-8.918,3.535,1.000
22.294,-4.536,-9.245,3.570,1.000
22.393,-4.679,-9.567,3.534,1.000
22.494,-4.823,-9.892,3.551,1.000
22.593,-4.968,-10.217,3.560,1.000
22.694,-5.532,-10.960,3.659,1.000
22.794,-5.681,-11.294,3.652,1.000
22.893,-5.832,-11.634,3.717,1.000
22.994,-5.984,-11.976,3.743,1.000
23.093,-6.137,-12.320,3.765,1.000
23.194,-6.289,-12.664,3.757,1.000
23.294,-6.444,-13.012,3.806,1.000
23.393,-6.600,-13.363,3.838,1.000
23.494,-6.759,-13.720,3.905,1.000
23.593,-6.917,-14.077,3.906,1.000
23.694,-7.648,-14.655,4.041,1.000
23.794,-7.811,-15.024,4.033,1.004
23.893,-7.975,-15.391,4.020,1.006
23.994,-8.138,-15.759,4.023,1.006
24.093,-8.302,-16.128,4.041,1.006
24.194,-8.467,-16.499,4.068,1.005
24.294,-9.327,-18.002,4.078,1.005
24.393,-9.573,-18.330,4.099,1.005
24.494,-9.821,-18.659,4.123,1.005
24.593,-10.074,-18.995,4.206,1.004
24.694,-10.670,-19.635,4.362,1.028
24.794,-10.932,-19.984,4.323,1.029
24.893,-11.192,-20.329,4.321,1.029
24.994,-11.455,-20.679,4.392,1.029
25.093,-11.719,-21.030,4.392,1.029
25.194,-11.987,-21.386,4.453,1.028
25.294,-12.255,-21.742,4.455,1.028
25.393,-12.527,-22.104,4.527,1.028
25.494,-12.800,-22.466,4.531,1.028
25.593,-13.073,-22.829,4.542,1.028
25.694,-13.873,-23.297,4.701,1.049
25.794,-15.156,-24.573,4.753,1.048
25.893,-15.526,-24.870,4.723,1.048
25.994,-15.895,-25.167,4.739,1.048
26.093,-16.264,-25.463,4.730,1.048
26.194,-16.641,-25.765,4.816,1.048
26.294,-17.015,-26.065,4.790,1.048
26.393,-17.387,-26.365,4.784,1.048
26.494,-17.761,-26.665,4.791,1.048
26.593,-18.140,-26.969,4.841,1.048
26.694,-18.768,-27.452,4.898,1.056
26.794,-19.153,-27.761,4.853,1.057
26.893,-19.532,-28.065,4.855,1.057
26.994,-19.912,-28.370,4.886,1.057
27.093,-20.294,-28.677,4.896,1.057
27.194,-20.675,-28.983,4.885,1.057
27.294,-21.059,-29.291,4.919,1.057
27.393,-21.441,-29.598,4.903,1.057
27.494,-22.661,-30.404,4.939,1.057
27.593,-23.087,-30.635,4.872,1.057
27.694,-24.196,-30.073,4.937,1.063
27.794,-24.631,-30.309,4.927,1.063
27.893,-25.064,-30.543,4.965,1.062
27.994,-25.499,-30.779,4.934,1.063
28.093,-25.935,-31.015,4.957,1.062
28.194,-26.369,-31.250,4.933,1.063
28.294,-26.808,-31.488,4.977,1.062
28.393,-27.240,-31.722,4.928,1.063
28.494,-27.679,-31.960,4.971,1.063
28.593,-28.110,-32.194,4.922,1.063
28.694,-28.758,-32.192,4.960,1.060
28.794,-29.198,-32.430,4.931,1.061
28.893,-29.631,-32.665,4.948,1.060
28.994,-30.065,-32.900,4.934,1.061
29.093,-30.501,-33.136,4.957,1.060
29.194,-30.936,-33.372,4.953,1.061
29.294,-31.371,-33.608,4.942,1.061
29.393,-31.804,-33.843,4.934,1.061
29.494,-32.244,-34.081,4.986,1.060
29.593,-32.681,-34.317,4.963,1.061
29.694,-33.513,-34.164,4.997,1.063
29.794,-34.420,-34.582,4.987,1.063
29.893,-34.888,-34.756,4.981,1.063
29.994,-35.354,-34.929,4.956,1.064
30.093,-35.817,-35.100,4.933,1.064
30.194,-36.282,-35.273,4.961,1.064
30.294,-36.752,-35.447,5.010,1.064
30.393,-37.223,-35.621,5.020,1.064
30.494,-37.694,-35.796,5.027,1.064
30.593,-38.163,-35.970,5.006,1.064
30.694,-38.541,-36.382,4.974,1.061
30.794,-39.006,-36.554,4.988,1.061
30.893,-39.474,-36.727,4.962,1.061
30.994,-39.941,-36.900,4.990,1.061
31.093,-40.410,-37.074,5.001,1.061
31.194,-40.881,-37.249,5.031,1.061
31.294,-41.354,-37.424,5.048,1.061
31.393,-41.824,-37.598,5.006,1.061
31.494,-42.288,-37.771,4.965,1.061
31.593,-42.755,-37.944,4.975,1.061
31.694,-43.171,-38.318,4.932,1.059
31.794,-43.641,-38.492,4.876,1.060
31.893,-44.098,-38.662,4.867,1.060
31.994,-44.555,-38.831,4.885,1.060
32.093,-45.015,-39.002,4.916,1.060
32.194,-45.473,-39.171,4.875,1.060
32.294,-45.923,-39.338,4.814,1.060
32.394,-46.380,-39.508,4.856,1.060
32.493,-46.836,-39.677,4.855,1.060
32.593,-47.288,-39.845,4.836,1.060
32.694,-47.932,-39.793,4.855,1.062
32.794,-48.388,-39.962,4.851,1.062
32.894,-49.421,-40.293,4.838,1.062
32.993,-49.896,-40.386,4.835,1.062
33.093,-50.368,-40.479,4.808,1.062
33.194,-50.848,-40.572,4.871,1.062
33.294,-51.323,-40.666,4.846,1.062
33.394,-51.797,-40.758,4.834,1.062
33.493,-52.278,-40.853,4.878,1.062
33.593,-52.764,-40.948,4.926,1.062
33.694,-53.287,-40.902,4.908,1.061
33.794,-53.767,-40.996,4.913,1.061
33.894,-54.250,-41.091,4.898,1.061
33.993,-54.733,-41.185,4.965,1.061
34.093,-55.222,-41.281,4.979,1.061
34.194,-55.715,-41.377,5.027,1.061
34.294,-56.211,-41.475,5.060,1.061
34.394,-56.711,-41.573,5.090,1.061
34.493,-57.217,-41.672,5.137,1.061
34.593,-57.723,-41.771,5.150,1.061
34.694,-58.237,-41.198,5.087,1.057
34.794,-58.733,-41.295,5.103,1.057
34.894,-59.235,-41.393,5.085,1.057
34.993,-59.734,-41.491,5.084,1.057
35.093,-60.232,-41.588,5.072,1.057
35.194,-60.726,-41.685,5.042,1.057
35.294,-61.219,-41.782,5.025,1.057
35.394,-61.708,-41.877,5.001,1.057
