t_s,x_m,y_m,v,k
13.095,0.081,-0.401,0.000,1.000
13.195,0.081,-0.401,0.000,1.000
13.295,0.081,-0.401,0.000,1.000
13.395,0.081,-0.401,0.000,1.000
13.495,0.081,-0.401,0.000,1.000
13.595,0.081,-0.401,0.000,1.000
13.695,0.081,-0.401,0.000,1.000
13.795,0.081,-0.401,0.000,1.000
13.895,0.081,-0.401,0.000,1.000
13.995,0.081,-0.401,0.000,1.000
14.095,0.081,-0.401,0.000,1.000
14.195,0.081,-0.401,0.000,1.000
14.295,0.081,-0.401,0.000,1.000
14.395,0.032,-0.165,-0.000,1.000
14.495,0.032,-0.165,0.000,1.000
17.595,0.209,0.506,1.735,1.000
17.695,0.288,0.658,1.706,1.000
17.795,0.369,0.808,1.707,1.000
17.895,0.459,0.963,1.750,1.000
17.995,0.563,1.141,1.881,1.000
18.095,0.669,1.316,1.947,1.000
18.195,0.792,1.516,2.086,1.000
18.295,1.221,2.285,2.443,1.000
18.395,1.366,2.510,2.532,1.000
18.495,1.522,2.738,2.622,1.000
18.595,1.683,2.958,2.662,1.000
18.695,1.856,3.180,2.714,1.000
18.795,2.039,3.412,2.799,1.000
18.895,2.225,3.638,2.843,1.000
18.995,2.425,3.866,2.908,1.000
19.095,2.641,4.098,2.996,1.000
19.195,2.877,4.344,3.135,1.000
19.295,3.117,4.591,3.242,1.000
19.395,3.625,5.292,3.407,1.000
19.495,3.864,5.551,3.460,1.000
19.595,4.108,5.815,3.523,1.000
19.695,4.351,6.080,3.556,1.000
19.795,4.599,6.346,3.592,1.000
19.895,4.862,6.616,3.675,1.000
19.995,5.143,6.890,3.792,1.000
20.095,5.426,7.158,3.842,1.000
20.195,5.715,7.432,3.913,1.000
20.295,5.996,7.700,3.896,1.000
20.395,6.503,8.323,3.905,1.000
20.495,6.788,8.583,3.878,1.000
20.595,7.071,8.844,3.859,1.000
20.695,7.352,9.111,3.865,1.000
20.795,7.624,9.375,3.827,1.000
20.895,7.899,9.643,3.834,1.000
20.995,8.181,9.915,3.880,1.000
21.095,8.462,10.184,3.885,1.000
21.195,8.753,10.463,3.966,1.000
21.295,9.253,11.067,4.099,1.000
21.395,9.545,11.357,4.111,1.000
21.495,9.840,11.651,4.149,1.000
21.595,10.142,11.945,4.190,1.000
21.695,10.445,12.238,4.209,1.000
21.795,10.750,12.536,4.241,1.000
21.895,11.052,12.834,4.240,1.000
21.995,11.360,13.137,4.289,1.000
22.095,11.670,13.440,4.314,1.000
22.195,11.989,13.747,4.384,1.000
22.295,12.307,14.048,4.385,1.000
22.395,12.820,14.637,4.438,1.000
22.495,13.146,14.949,4.487,1.000
22.595,13.469,15.268,4.527,1.000
22.695,13.778,15.596,4.516,1.000
22.795,14.082,15.935,4.539,1.000
22.895,14.388,16.272,4.550,1.000
