t_s,x_m,y_m,v,k
13.021,0.294,0.617,0.000,1.000
13.121,0.294,0.617,0.000,1.000
13.221,0.294,0.617,0.000,1.000
13.321,0.294,0.617,0.000,1.000
13.421,0.294,0.617,0.000,1.000
13.521,0.294,0.617,0.000,1.000
13.621,0.294,0.617,0.000,1.000
13.721,0.294,0.617,0.000,1.000
13.821,0.168,0.299,0.000,1.000
13.921,0.168,0.299,0.000,1.000
14.021,0.168,0.299,0.000,1.000
14.121,0.168,0.299,0.000,1.000
14.221,0.168,0.299,0.000,1.000
14.321,0.168,0.299,0.000,1.000
14.421,0.168,0.299,0.000,1.000
17.621,0.019,-0.155,1.223,1.000
17.721,0.019,-0.155,1.157,1.000
17.821,-0.000,-0.513,1.453,1.000
17.921,-0.000,-0.513,1.400,1.000
18.021,-0.000,-0.513,1.350,1.000
18.121,-0.000,-0.513,1.350,1.000
18.221,-0.000,-0.513,1.329,1.000
18.321,-0.000,-0.513,1.380,1.000
18.421,-0.000,-0.513,1.391,1.000
18.521,-0.000,-0.513,1.433,1.000
18.621,-0.000,-0.513,1.464,1.000
18.721,-0.000,-0.513,1.516,1.000
18.821,-0.160,-0.919,1.774,1.000
18.921,-0.226,-1.084,1.785,1.000
19.021,-0.292,-1.249,1.780,1.000
19.121,-0.362,-1.423,1.829,1.000
19.221,-0.430,-1.591,1.822,1.000
19.321,-0.500,-1.767,1.854,1.000
19.421,-0.573,-1.947,1.888,1.000
19.521,-0.650,-2.140,1.958,1.000
19.621,-0.729,-2.337,2.017,1.000
19.721,-0.816,-2.552,2.122,1.000
19.821,-1.316,-3.219,2.383,1.000
19.921,-1.410,-3.453,2.441,1.000
20.021,-1.502,-3.683,2.454,1.000
20.121,-1.596,-3.916,2.478,1.000
20.221,-1.687,-4.144,2.470,1.000
20.321,-1.784,-4.384,2.519,1.000
20.421,-1.881,-4.627,2.558,1.000
20.521,-1.980,-4.873,2.598,1.000
20.621,-2.083,-5.129,2.667,1.000
20.721,-2.185,-5.382,2.693,1.000
20.821,-2.541,-6.037,2.826,1.000
20.921,-2.646,-6.297,2.817,1.000
21.021,-2.751,-6.558,2.815,1.000
21.121,-2.858,-6.824,2.844,1.000
21.221,-2.966,-7.093,2.874,1.000
21.321,-3.075,-7.364,2.903,1.000
21.421,-3.187,-7.645,2.972,1.000
21.521,-3.299,-7.922,2.982,1.000
21.621,-3.505,-8.398,3.043,1.000
21.721,-3.634,-8.689,3.135,1.000
21.821,-3.636,-9.472,3.209,1.000
21.921,-3.765,-9.763,3.189,1.008
22.021,-3.893,-10.051,3.159,1.013
22.121,-4.021,-10.339,3.144,1.014
22.221,-4.146,-10.621,3.091,1.016
22.321,-4.270,-10.899,3.057,1.017
22.421,-4.395,-11.179,3.063,1.017
22.521,-4.521,-11.463,3.095,1.017
22.621,-4.648,-11.749,3.125,1.017
22.721,-4.773,-12.032,3.098,1.017
22.821,-4.916,-12.714,3.161,1.028
22.921,-5.045,-13.004,3.191,1.027
23.021,-5.175,-13.296,3.190,1.027
23.121,-5.304,-13.587,3.191,1.027
23.221,-5.433,-13.878,3.181,1.027
23.321,-5.563,-14.169,3.182,1.027
23.421,-5.695,-14.466,3.237,1.027
23.521,-5.826,-14.762,3.238,1.027
23.621,-5.958,-15.058,3.239,1.027
23.721,-6.090,-15.356,3.256,1.027
23.821,-6.663,-15.830,3.309,1.034
