t_s,x_m,y_m,v,k
13.096,-0.408,-0.125,0.000,1.000
13.196,-0.408,-0.125,0.000,1.000
13.296,-0.408,-0.125,0.013,1.000
13.396,-0.416,-0.120,0.023,1.000
13.496,-0.416,-0.120,0.034,1.000
13.596,-0.416,-0.120,0.030,1.000
13.696,-0.416,-0.120,0.027,1.000
13.796,-0.416,-0.120,0.020,1.000
13.896,-0.416,-0.120,0.002,1.000
13.996,-0.416,-0.120,0.000,1.000
14.096,-0.416,-0.120,0.000,1.000
14.196,-0.416,-0.120,0.000,1.000
14.296,-0.416,-0.120,0.000,1.000
14.396,-0.339,0.036,0.000,1.000
14.496,-0.339,0.036,0.000,1.000
17.596,-0.344,0.624,2.109,1.000
17.696,-0.344,0.624,1.917,1.000
17.796,-0.344,0.624,1.890,1.000
17.896,-0.344,0.624,1.914,1.000
17.996,-0.344,0.624,1.980,1.000
18.096,-0.344,0.624,2.052,1.000
18.196,-0.344,0.624,2.105,1.000
18.296,-0.344,0.624,2.170,1.000
18.396,-0.549,1.402,2.379,1.000
18.496,-0.574,1.365,2.401,1.000
18.596,-0.426,1.562,2.450,1.000
18.696,-0.276,1.762,2.482,1.000
18.796,-0.117,1.974,2.569,1.000
18.896,0.046,2.191,2.637,1.000
18.996,0.206,2.405,2.650,1.000
19.096,0.374,2.627,2.706,1.000
19.196,0.548,2.859,2.780,1.000
19.296,0.719,3.088,2.811,1.000
19.396,1.043,4.074,2.977,1.000
19.496,1.224,4.315,2.996,1.000
19.596,1.411,4.564,3.051,1.000
19.696,1.602,4.820,3.118,1.000
19.796,1.789,5.069,3.116,1.000
19.896,1.983,5.326,3.162,1.000
19.996,2.176,5.583,3.184,1.000
20.096,2.366,5.837,3.181,1.000
20.196,2.554,6.088,3.159,1.000
20.296,2.742,6.338,3.147,1.000
20.396,2.975,7.034,3.241,1.000
20.496,3.194,7.268,3.221,1.000
20.596,3.405,7.494,3.153,1.000
20.696,3.623,7.727,3.173,1.000
20.796,3.845,7.965,3.217,1.000
20.896,4.068,8.204,3.244,1.000
20.996,4.292,8.444,3.266,1.000
21.096,4.522,8.691,3.324,1.000
21.196,4.755,8.939,3.369,1.000
21.296,4.985,9.186,3.373,1.000
21.396,5.360,10.039,3.500,1.000
21.496,5.601,10.297,3.521,1.000
21.596,5.844,10.558,3.549,1.000
21.696,6.089,10.820,3.568,1.000
21.796,6.342,11.091,3.658,1.000
21.896,6.595,11.363,3.693,1.000
21.996,6.851,11.637,3.729,1.000
22.096,7.102,11.905,3.689,1.000
22.196,7.356,12.178,3.717,1.000
22.296,7.610,12.449,3.714,1.000
22.396,8.283,12.994,3.865,1.000
22.496,8.545,13.274,3.839,1.000
22.596,8.814,13.562,3.913,1.000
22.696,9.080,13.848,3.910,1.000
22.796,9.348,14.135,3.920,1.000
22.896,9.617,14.423,3.933,1.000
22.996,9.891,14.716,3.990,1.000
23.096,10.164,15.009,3.997,1.000
23.196,10.417,15.275,4.049,1.000
23.296,10.695,15.561,4.001,1.000
23.396,11.529,15.889,4.103,1.000
23.496,11.811,16.179,4.056,1.000
23.596,12.097,16.473,4.093,1.000
23.696,12.379,16.763,4.056,1.000
23.796,12.664,17.056,4.080,1.000
23.896,12.947,17.346,4.058,1.000
23.996,13.232,17.639,4.083,1.000
24.096,13.516,17.931,4.073,1.000
24.196,13.804,18.226,4.111,1.000
24.296,14.087,18.517,4.070,1.000
24.396,14.696,18.979,4.114,1.000
24.496,14.982,19.273,4.097,1.000
24.596,15.266,19.564,4.071,1.000
24.696,15.551,19.856,4.079,1.000
24.796,15.836,20.149,4.083,1.000
24.896,16.121,20.442,4.095,1.000
24.996,16.409,20.737,4.116,1.000
