t_s,x_m,y_m,v,k
13.297,-0.064,-0.088,0.000,1.000
14.097,-0.066,-0.087,0.000,1.000
14.397,-0.066,-0.087,0.000,1.000
17.597,-0.168,0.693,1.776,1.000
17.697,-0.168,0.693,1.565,1.000
17.797,-0.168,0.693,1.499,1.000
17.897,-0.168,0.693,1.458,1.000
17.997,-0.168,0.693,1.449,1.000
18.097,-0.168,0.693,1.534,1.000
18.197,-0.168,0.693,1.589,1.000
18.297,-0.168,0.693,1.625,1.000
18.397,-0.168,0.693,1.668,1.000
18.497,-0.388,1.480,1.814,1.000
18.597,-0.550,1.224,1.846,1.000
18.697,-0.439,1.372,1.855,1.000
18.797,-0.326,1.523,1.872,1.000
18.897,-0.207,1.681,1.929,1.000
18.997,-0.081,1.849,2.011,1.000
19.097,0.044,2.016,2.046,1.000
19.197,0.174,2.188,2.094,1.000
19.297,0.319,2.382,2.239,1.000
19.397,0.462,2.572,2.296,1.000
19.497,0.586,3.519,2.396,1.000
19.597,0.736,3.718,2.447,1.000
19.697,0.887,3.919,2.482,1.000
19.797,1.037,4.120,2.494,1.000
19.897,1.194,4.328,2.552,1.000
19.997,1.350,4.536,2.579,1.000
20.097,1.512,4.753,2.643,1.000
20.197,1.675,4.969,2.677,1.000
20.297,1.839,5.188,2.708,1.000
20.397,2.010,5.415,2.778,1.000
20.497,2.364,6.116,2.779,1.000
20.597,2.533,6.340,2.794,1.000
20.697,2.707,6.572,2.865,1.000
20.797,2.882,6.805,2.901,1.000
20.897,2.809,6.712,2.958,1.000
20.997,3.010,6.927,2.956,1.000
21.097,3.213,7.144,2.962,1.000
21.197,3.422,7.368,3.027,1.000
21.297,3.630,7.591,3.039,1.000
21.397,3.835,7.811,3.023,1.000
21.497,4.182,8.388,2.982,1.000
21.597,4.386,8.606,2.990,0.997
21.697,4.589,8.823,2.969,1.001
21.797,4.791,9.040,2.969,1.001
21.897,4.994,9.257,2.968,1.001
21.997,5.197,9.475,2.979,1.001
22.097,5.401,9.694,2.989,1.000
22.197,5.606,9.913,2.999,1.000
22.297,5.809,10.130,2.978,1.000
22.397,6.012,10.348,2.980,1.000
22.497,6.199,10.916,2.931,0.993
22.597,6.399,11.130,2.930,0.993
22.697,6.601,11.346,2.956,0.993
22.797,6.802,11.561,2.948,0.993
22.897,7.001,11.774,2.920,0.993
22.997,7.199,11.987,2.913,0.993
23.097,7.396,12.198,2.891,0.993
23.197,7.594,12.410,2.899,0.993
23.297,7.787,12.617,2.852,0.993
23.397,7.982,12.825,2.852,0.993
23.497,8.063,13.430,2.863,0.994
23.597,8.259,13.639,2.861,0.994
23.697,8.453,13.847,2.841,0.994
23.797,8.647,14.055,2.848,0.994
23.897,8.840,14.261,2.822,0.994
23.997,9.033,14.468,2.826,0.994
24.097,9.227,14.676,2.844,0.994
24.197,9.423,14.886,2.863,0.994
24.297,9.616,15.093,2.841,0.994
24.397,9.762,15.249,2.812,0.994
24.497,9.900,15.818,2.833,0.999
24.597,10.097,16.020,2.850,0.999
24.697,10.295,16.224,2.816,0.999
24.797,10.492,16.426,2.821,0.999
24.897,10.691,16.630,2.848,0.999
24.997,10.891,16.836,2.874,0.999
25.097,11.089,17.039,2.830,0.999
25.197,11.285,17.240,2.820,0.999
25.297,11.484,17.445,2.841,0.999
25.397,11.685,17.651,2.871,0.999
25.497,12.016,18.081,2.899,1.008
25.597,12.219,18.289,2.900,1.008
25.697,12.422,18.498,2.947,1.008
25.797,12.628,18.709,2.965,1.008
25.897,12.833,18.920,2.921,1.008
25.997,13.038,19.130,2.938,1.008
26.097,13.250,19.348,3.024,1.008
26.197,13.460,19.564,3.019,1.008
26.297,13.668,19.777,2.977,1.008
26.397,13.876,19.991,2.979,1.008
26.497,14.299,20.274,3.005,1.012
26.597,14.509,20.490,2.994,1.012
26.697,14.717,20.704,2.963,1.012
26.797,14.929,20.921,3.044,1.012
26.897,15.143,21.141,3.078,1.012
26.997,15.358,21.362,3.087,1.012
27.097,15.787,21.863,3.032,1.012
27.197,15.969,22.103,3.012,1.012
27.297,16.155,22.347,3.057,1.012
27.397,16.340,22.592,3.071,1.012
27.497,16.854,22.832,3.060,1.019
27.597,17.036,23.073,3.112,1.018
27.697,17.224,23.321,3.126,1.018
27.797,17.413,23.569,3.096,1.018
27.897,17.599,23.814,3.076,1.018
27.997,17.785,24.060,3.090,1.018
28.097,17.972,24.306,3.087,1.018
28.197,18.160,24.554,3.103,1.018
28.297,18.349,24.803,3.127,1.018
28.397,18.538,25.053,3.135,1.018
28.497,19.227,25.152,3.175,1.023
28.597,19.420,25.406,3.165,1.024
28.697,19.611,25.658,3.195,1.023
28.797,19.804,25.912,3.186,1.023
28.897,19.998,26.167,3.204,1.023
28.997,20.191,26.422,3.200,1.023
29.097,20.387,26.681,3.245,1.023
29.197,20.583,26.939,3.236,1.023
29.297,20.781,27.200,3.281,1.023
29.397,20.978,27.459,3.248,1.023
29.497,21.641,27.568,3.313,1.027
29.597,21.842,27.832,3.311,1.027
29.697,22.216,28.376,3.333,1.027
29.797,22.395,28.656,3.313,1.027
29.897,22.575,28.938,3.356,1.027
29.997,22.756,29.220,3.348,1.027
30.097,22.939,29.506,3.398,1.027
30.197,23.123,29.794,3.418,1.027
30.297,23.309,30.086,3.478,1.027
30.397,23.497,30.380,3.508,1.027
30.497,24.014,30.485,3.488,1.025
30.597,24.203,30.781,3.474,1.025
30.697,24.391,31.074,3.453,1.025
30.797,24.577,31.365,3.458,1.025
30.897,24.764,31.658,3.475,1.025
30.997,24.951,31.951,3.488,1.025
31.097,25.139,32.245,3.487,1.025
31.197,25.328,32.540,3.503,1.025
31.297,25.516,32.835,3.495,1.025
31.397,25.705,33.129,3.499,1.025
31.497,26.078,33.344,3.504,1.024
31.597,26.264,33.636,3.536,1.024
31.697,26.454,33.933,3.544,1.024
31.797,26.646,34.232,3.568,1.023
31.897,26.838,34.534,3.588,1.023
31.997,27.241,35.230,3.580,1.023
32.097,27.405,35.550,3.588,1.023
32.197,27.569,35.871,3.614,1.023
32.297,27.734,36.192,3.605,1.023
32.397,27.896,36.510,3.568,1.023
32.497,28.002,36.709,3.463,1.017
32.597,28.161,37.019,3.448,1.017
32.697,28.318,37.326,3.469,1.017
32.797,28.476,37.634,3.451,1.017
32.897,28.633,37.941,3.447,1.017
32.997,28.791,38.248,3.446,1.017
33.097,28.947,38.553,3.436,1.017
33.197,29.101,38.853,3.385,1.017
33.297,29.255,39.153,3.374,1.017
33.397,29.409,39.454,3.378,1.017
33.497,29.633,39.707,3.391,1.017
33.597,29.786,40.006,3.415,1.016
33.697,29.943,40.312,3.362,1.017
33.797,30.095,40.609,3.334,1.017
33.897,30.246,40.903,3.305,1.017
33.997,30.395,41.196,3.292,1.017
34.097,30.544,41.487,3.277,1.017
34.197,30.695,41.780,3.286,1.017
34.297,30.844,42.071,3.275,1.017
34.397,30.994,42.364,3.288,1.017
34.497,31.084,42.625,3.259,1.015
34.597,31.232,42.914,3.269,1.014
34.697,31.381,43.205,3.263,1.015
34.797,31.530,43.495,3.264,1.015
34.897,31.678,43.784,3.247,1.015
34.997,31.828,44.076,3.271,1.015
35.097,31.977,44.366,3.264,1.015
35.197,32.127,44.660,3.290,1.015
35.297,32.275,44.949,3.250,1.015
35.397,32.422,45.235,3.229,1.015
35.497,32.490,45.445,3.187,1.011
35.597,32.635,45.728,3.193,1.011
35.697,32.781,46.012,3.193,1.011
35.797,32.928,46.300,3.271,1.011
35.897,33.077,46.591,3.271,1.011
35.997,33.227,46.883,3.273,1.011
36.097,33.376,47.174,3.274,1.011
36.197,33.529,47.472,3.345,1.011
36.297,33.871,48.274,3.351,1.011
36.397,33.988,48.585,3.323,1.011
36.497,33.916,48.832,3.237,1.007
36.597,34.028,49.130,3.294,1.006
36.697,34.143,49.438,3.315,1.006
36.797,34.260,49.748,3.309,1.006
36.897,34.375,50.055,3.266,1.006
36.997,34.489,50.359,3.244,1.006
37.097,34.603,50.663,3.247,1.006
37.197,34.717,50.966,3.242,1.006
37.297,34.832,51.271,3.259,1.006
37.397,34.948,51.580,3.297,1.006
37.497,35.078,51.775,3.275,1.004
37.597,35.194,52.084,3.257,1.004
37.697,35.308,52.389,3.270,1.004
37.797,35.423,52.694,3.252,1.004
37.897,35.537,52.998,3.247,1.004
37.997,35.650,53.299,3.219,1.004
38.097,35.763,53.599,3.200,1.004
38.197,35.875,53.897,3.192,1.004
38.297,35.985,54.190,3.142,1.004
38.397,36.098,54.491,3.189,1.004
38.497,36.444,54.652,3.211,1.003
38.597,36.559,54.957,3.181,1.004
38.697,36.670,55.254,3.174,1.004
38.797,36.782,55.551,3.163,1.004
38.897,36.893,55.848,3.178,1.004
38.997,37.005,56.146,3.174,1.004
39.097,37.115,56.438,3.129,1.004
39.197,37.226,56.733,3.145,1.004
39.297,37.338,57.033,3.190,1.004
39.397,37.451,57.332,3.195,1.004
39.497,37.687,57.588,3.249,1.004
39.597,37.800,57.890,3.263,1.004
39.697,37.916,58.197,3.210,1.005
39.797,38.028,58.497,3.201,1.005
39.897,38.140,58.795,3.177,1.005
39.997,38.253,59.095,3.202,1.005
40.097,38.366,59.396,3.214,1.005
40.197,38.478,59.694,3.182,1.005
40.297,38.590,59.991,3.178,1.005
40.397,38.704,60.295,3.232,1.005
40.497,38.876,60.584,3.236,1.006
40.597,38.992,60.893,3.185,1.006
40.697,39.104,61.192,3.227,1.006
40.797,39.218,61.495,3.262,1.006
40.897,39.333,61.801,3.257,1.006
40.997,39.447,62.104,3.238,1.006
41.097,39.560,62.407,3.233,1.006
41.197,38.972,61.397,3.285,1.006
41.297,39.170,61.655,3.239,1.006
41.397,39.365,61.908,3.206,1.006
41.497,39.485,62.146,3.222,1.005
41.597,39.680,62.399,3.245,1.004
41.697,39.878,62.656,3.247,1.004
41.797,40.075,62.912,3.204,1.004
41.897,40.269,63.166,3.194,1.004
41.997,40.466,63.421,3.219,1.004
42.097,40.664,63.679,3.264,1.004
42.197,40.860,63.934,3.192,1.005
42.297,41.056,64.189,3.211,1.005
42.397,41.255,64.447,3.253,1.005
42.497,40.855,65.213,3.266,1.005
42.597,41.058,65.477,3.215,1.005
42.697,41.254,65.732,3.214,1.005
42.797,41.450,65.987,3.225,1.005
42.897,41.646,66.243,3.224,1.005
42.997,41.842,66.498,3.214,1.005
43.097,42.035,66.748,3.162,1.005
