t_s,x_m,y_m,v,k
17.583,-0.197,-0.015,0.000,1.000
17.683,-0.197,-0.015,0.000,1.000
17.783,-0.197,-0.015,0.000,1.000
17.883,-0.197,-0.015,0.000,1.000
17.983,-0.197,-0.015,0.000,1.000
18.083,-0.197,-0.015,0.000,1.000
18.183,-0.197,-0.015,0.000,1.000
18.283,-0.197,-0.015,0.000,1.000
18.383,-0.197,-0.015,0.000,1.000
18.483,-0.077,-0.014,0.000,1.000
18.583,-0.077,-0.014,0.000,1.000
18.683,-0.077,-0.014,0.000,1.000
18.783,-0.077,-0.014,0.000,1.000
18.883,-0.077,-0.014,0.000,1.000
18.983,-0.077,-0.014,0.000,1.000
19.083,-0.077,-0.014,0.000,1.000
19.183,-0.077,-0.014,0.000,1.000
19.283,-0.077,-0.014,0.000,1.000
19.383,-0.077,-0.014,0.000,1.000
19.483,-0.024,-0.014,0.000,1.000
19.583,-0.024,-0.014,0.000,1.000
19.683,-0.024,-0.014,0.000,1.000
19.783,-0.024,-0.014,0.000,1.000
19.883,-0.024,-0.014,0.000,1.000
19.983,-0.024,-0.014,0.000,1.000
20.083,-0.024,-0.014,0.000,1.000
20.183,-0.024,-0.014,0.000,1.000
20.283,-0.024,-0.014,0.000,1.000
20.383,-0.024,-0.014,0.000,1.000
20.483,0.007,-0.014,0.000,1.000
20.583,0.007,-0.014,0.000,1.000
20.683,0.007,-0.014,0.000,1.000
20.783,0.007,-0.014,0.000,1.000
20.883,0.007,-0.014,0.000,1.000
20.983,0.007,-0.014,0.000,1.000
21.083,0.007,-0.014,0.000,1.000
21.183,0.007,-0.014,0.000,1.000
21.283,0.007,-0.014,0.000,1.000
21.383,0.007,-0.014,0.000,1.000
21.483,0.026,-0.014,0.000,1.000
21.583,0.026,-0.014,0.000,1.000
21.683,0.026,-0.014,0.000,1.000
21.783,0.026,-0.014,0.000,1.000
21.883,0.026,-0.014,0.000,1.000
21.983,0.026,-0.014,0.000,1.000
22.083,0.026,-0.014,0.000,1.000
22.183,0.026,-0.014,0.000,1.000
22.283,0.026,-0.014,0.000,1.000
22.383,0.026,-0.014,0.000,1.000
22.483,0.040,-0.014,0.000,1.000
22.583,0.040,-0.014,0.000,1.000
22.683,0.040,-0.014,0.000,1.000
22.783,0.040,-0.014,0.000,1.000
22.883,0.040,-0.014,0.000,1.000
22.983,0.040,-0.014,0.000,1.000
23.083,0.040,-0.014,0.000,1.000
23.183,0.040,-0.014,0.000,1.000
23.283,0.040,-0.014,0.000,1.000
23.383,0.040,-0.014,0.000,1.000
23.483,0.050,-0.014,0.000,1.000
23.583,0.050,-0.014,0.000,1.000
23.683,0.050,-0.014,0.000,1.000
23.783,0.050,-0.014,0.000,1.000
23.883,0.050,-0.014,0.000,1.000
23.983,0.050,-0.014,0.000,1.000
24.083,0.050,-0.014,0.000,1.000
24.183,0.050,-0.014,0.000,1.000
24.283,0.050,-0.014,0.000,1.000
24.383,0.050,-0.014,0.000,1.000
24.483,0.056,-0.015,0.000,1.000
24.583,0.056,-0.015,0.000,1.000
24.683,0.056,-0.015,0.000,1.000
24.783,0.056,-0.015,0.000,1.000
24.883,0.056,-0.015,0.000,1.000
24.983,0.056,-0.015,0.000,1.000
25.083,0.056,-0.015,0.000,1.000
25.183,0.056,-0.015,0.000,1.000
25.283,0.056,-0.015,0.000,1.000
25.383,0.056,-0.015,0.000,1.000
25.483,0.061,-0.016,0.000,1.000
25.583,0.061,-0.016,0.000,1.000
25.683,0.061,-0.016,0.000,1.000
25.783,0.061,-0.016,0.000,1.000
25.883,0.061,-0.016,0.000,1.000
25.983,0.061,-0.016,0.000,1.000
26.083,0.061,-0.016,0.000,1.000
26.183,0.061,-0.016,0.000,1.000
26.283,0.061,-0.016,0.000,1.000
26.383,0.061,-0.016,0.000,1.000
26.483,0.065,-0.017,0.000,1.000
26.583,0.065,-0.017,0.000,1.000
26.683,0.065,-0.017,0.000,1.000
26.783,0.065,-0.017,0.000,1.000
26.883,0.065,-0.017,0.000,1.000
26.983,0.065,-0.017,0.000,1.000
27.083,0.065,-0.017,0.000,1.000
27.183,0.065,-0.017,0.000,1.000
27.283,0.065,-0.017,0.000,1.000
27.383,0.065,-0.017,0.000,1.000
27.483,0.068,-0.018,0.000,1.000
27.583,0.068,-0.018,0.000,1.000
27.683,0.068,-0.018,0.000,1.000
27.783,0.068,-0.018,0.000,1.000
27.883,0.068,-0.018,0.000,1.000
27.983,0.068,-0.018,0.000,1.000
28.083,0.068,-0.018,0.000,1.000
28.183,0.068,-0.018,0.000,1.000
28.283,0.068,-0.018,0.000,1.000
28.383,0.068,-0.018,0.000,1.000
28.483,0.070,-0.019,0.000,1.000
28.583,0.070,-0.019,0.000,1.000
28.683,0.070,-0.019,0.000,1.000
28.783,0.070,-0.019,0.000,1.000
28.883,0.070,-0.019,0.000,1.000
28.983,0.070,-0.019,0.000,1.000
29.083,0.070,-0.019,0.000,1.000
29.183,0.070,-0.019,0.000,1.000
29.283,0.070,-0.019,0.000,1.000
29.383,0.070,-0.019,0.000,1.000
29.483,0.072,-0.020,0.000,1.000
29.583,0.072,-0.020,0.000,1.000
29.683,0.072,-0.020,0.000,1.000
29.783,0.072,-0.020,0.000,1.000
29.883,0.072,-0.020,0.000,1.000
29.983,0.072,-0.020,0.000,1.000
30.083,0.072,-0.020,0.000,1.000
30.183,0.072,-0.020,0.000,1.000
30.283,0.072,-0.020,0.000,1.000
30.383,0.072,-0.020,0.000,1.000
30.483,0.073,-0.022,0.000,1.000
30.583,0.073,-0.022,0.000,1.000
30.683,0.073,-0.022,0.000,1.000
30.783,0.073,-0.022,0.000,1.000
30.883,0.073,-0.022,0.000,1.000
30.983,0.073,-0.022,0.000,1.000
31.083,0.073,-0.022,0.000,1.000
31.183,0.073,-0.022,0.000,1.000
31.283,0.073,-0.022,0.000,1.000
31.383,0.073,-0.022,0.000,1.000
31.483,0.074,-0.023,0.000,1.000
31.583,0.074,-0.023,0.000,1.000
31.683,0.074,-0.023,0.000,1.000
31.783,0.074,-0.023,0.000,1.000
31.883,0.074,-0.023,0.000,1.000
31.983,0.074,-0.023,0.000,1.000
32.083,0.074,-0.023,0.000,1.000
32.183,0.074,-0.023,0.000,1.000
32.283,0.074,-0.023,0.004,1.000
32.383,0.074,-0.023,0.006,1.000
32.483,0.075,-0.024,0.001,1.000
32.583,0.075,-0.024,0.000,1.000
32.683,0.075,-0.024,0.000,1.000
32.783,0.075,-0.024,0.000,1.000
32.883,0.075,-0.024,0.000,1.000
32.983,0.075,-0.024,0.000,1.000
33.083,0.075,-0.024,0.000,1.000
33.183,0.075,-0.024,0.000,1.000
33.283,0.075,-0.024,0.000,1.000
33.383,0.075,-0.024,0.000,1.000
33.483,0.076,-0.025,0.000,1.000
33.583,0.076,-0.025,0.000,1.000
33.683,0.076,-0.025,0.000,1.000
33.783,0.076,-0.025,0.000,1.000
33.883,0.076,-0.025,0.000,1.000
33.983,0.076,-0.025,0.000,1.000
34.083,0.076,-0.025,0.000,1.000
34.183,0.076,-0.025,0.000,1.000
34.283,0.076,-0.025,0.000,1.000
34.383,0.076,-0.025,0.000,1.000
34.483,0.077,-0.026,0.000,1.000
34.583,0.077,-0.026,0.000,1.000
34.683,0.077,-0.026,0.000,1.000
34.783,0.077,-0.026,0.000,1.000
34.883,0.077,-0.026,0.000,1.000
34.983,0.077,-0.026,0.000,1.000
35.083,0.077,-0.026,0.000,1.000
35.183,0.077,-0.026,0.000,1.000
35.283,0.077,-0.026,0.000,1.000
35.383,0.077,-0.026,0.000,1.000
