t_s,x_m,y_m,v,k
13.188,0.178,-0.030,0.027,1.000
13.288,0.178,-0.030,0.011,1.000
13.488,0.181,-0.032,0.003,1.000
13.688,0.181,-0.032,0.001,1.000
13.888,0.181,-0.032,0.000,1.000
13.988,0.181,-0.032,0.000,1.000
14.288,0.181,-0.032,0.000,1.000
14.388,0.179,-0.029,0.000,1.000
17.588,0.209,0.401,3.154,1.000
17.688,0.209,0.401,2.925,1.000
17.788,0.209,0.401,2.834,1.000
17.888,0.209,0.401,2.840,1.000
17.988,0.209,0.401,2.868,1.000
18.088,0.209,0.401,2.920,1.000
18.188,0.209,0.401,2.959,1.000
18.288,0.209,0.401,3.107,1.000
18.388,-0.040,0.707,3.163,1.000
18.488,0.154,0.966,3.268,1.000
18.588,0.353,1.232,3.324,1.000
18.688,0.560,1.506,3.406,1.000
18.788,0.767,1.783,3.439,1.000
18.888,0.978,2.063,3.477,1.000
18.988,1.187,2.342,3.483,1.000
19.088,1.407,2.634,3.578,1.000
19.188,1.628,2.929,3.636,1.000
19.288,1.852,3.227,3.692,1.000
19.388,2.261,4.142,3.651,1.000
19.488,2.481,4.436,3.663,1.000
19.588,2.701,4.729,3.665,1.000
19.688,2.925,5.027,3.704,1.000
19.788,3.144,5.319,3.674,1.000
19.888,3.378,5.630,3.795,1.000
19.988,3.608,5.937,3.823,1.000
20.088,3.593,5.933,3.867,1.000
20.188,3.855,6.213,3.847,1.000
20.288,4.126,6.503,3.921,1.000
20.388,4.678,7.265,3.959,1.000
20.488,4.951,7.557,3.985,1.000
20.588,5.221,7.846,3.966,1.000
20.688,5.499,8.144,4.040,1.000
20.788,5.776,8.441,4.056,1.000
20.888,6.058,8.743,4.109,1.000
20.988,6.338,9.042,4.100,1.000
21.088,6.623,9.348,4.154,1.000
21.188,6.909,9.654,4.179,1.000
21.288,7.205,9.971,4.282,1.000
21.388,8.084,10.366,4.344,1.000
21.488,8.381,10.683,4.345,1.000
21.588,8.680,11.004,4.375,1.000
21.688,8.987,11.333,4.463,1.000
21.788,9.294,11.661,4.485,1.000
21.888,9.608,11.998,4.568,1.000
21.988,9.926,12.338,4.622,1.000
22.088,10.251,12.686,4.717,1.000
22.188,10.574,13.033,4.735,1.000
22.288,10.898,13.380,4.743,1.000
22.388,11.542,13.874,4.809,1.000
22.488,11.878,14.219,4.812,1.000
22.588,12.214,14.564,4.814,1.000
22.688,12.548,14.907,4.800,1.000
22.788,12.888,15.256,4.849,1.000
22.888,13.229,15.607,4.877,1.000
22.988,13.574,15.960,4.917,1.000
23.088,13.913,16.309,4.883,1.000
23.188,14.257,16.662,4.915,1.000
23.288,14.603,17.018,4.948,1.000
23.388,14.687,18.140,4.991,1.000
23.488,15.035,18.497,4.988,1.000
23.588,15.391,18.863,5.077,1.000
23.688,15.750,19.231,5.124,1.000
23.788,16.115,19.606,5.200,1.000
23.888,16.490,19.991,5.315,1.000
23.988,17.134,20.716,5.439,1.000
24.088,17.460,21.146,5.410,1.000
24.188,17.786,21.576,5.397,1.000
24.288,18.113,22.008,5.412,1.000
24.388,19.109,22.354,5.496,1.000
24.488,19.438,22.788,5.467,1.000
24.588,19.768,23.223,5.461,1.000
24.688,20.100,23.661,5.478,1.000
24.788,20.447,24.119,5.637,1.000
24.888,20.789,24.568,5.642,1.000
24.988,21.130,25.018,5.645,1.000
25.088,21.469,25.466,5.630,1.000
25.188,21.819,25.927,5.716,1.000
25.288,22.166,26.384,5.730,1.000
25.388,23.401,26.609,5.900,1.000
25.488,23.940,27.415,5.850,1.000
25.588,24.263,27.920,5.925,1.000
25.688,24.586,28.424,5.958,1.000
25.788,24.909,28.930,5.979,1.000
25.888,25.231,29.435,5.983,1.000
25.988,25.556,29.942,6.001,1.000
26.088,25.883,30.454,6.027,1.000
26.188,26.205,30.958,6.013,1.000
26.288,26.524,31.456,5.977,1.000
26.388,27.266,32.143,6.154,1.000
26.488,27.600,32.665,6.172,1.000
26.588,27.930,33.181,6.151,1.000
26.688,28.493,34.111,6.104,1.000
26.788,28.770,34.652,6.095,1.000
26.888,29.050,35.198,6.108,1.000
26.988,29.329,35.742,6.112,1.000
27.088,29.603,36.278,6.083,1.000
27.188,29.880,36.818,6.081,1.000
27.288,30.160,37.364,6.095,1.000
27.388,30.821,38.145,6.317,1.000
27.488,31.105,38.700,6.296,1.008
27.588,31.390,39.256,6.278,1.014
27.688,31.676,39.814,6.276,1.014
27.788,31.955,40.359,6.232,1.021
27.888,32.239,40.913,6.228,1.022
27.988,32.518,41.458,6.199,1.025
28.088,32.802,42.012,6.205,1.024
28.188,33.081,42.557,6.183,1.026
28.288,33.365,43.111,6.194,1.025
28.388,33.762,44.105,6.421,1.048
28.488,34.053,44.674,6.404,1.049
28.588,34.342,45.238,6.370,1.052
28.688,34.631,45.802,6.354,1.053
28.788,34.917,46.359,6.319,1.054
28.888,35.390,47.486,6.294,1.055
28.988,35.607,48.061,6.247,1.057
29.088,35.827,48.648,6.254,1.056
29.188,36.044,49.225,6.227,1.057
29.288,36.258,49.795,6.192,1.057
29.388,36.292,50.857,6.331,1.071
29.488,36.514,51.450,6.344,1.070
29.588,36.737,52.042,6.323,1.071
29.688,36.959,52.633,6.318,1.071
29.788,37.177,53.214,6.269,1.072
29.888,37.398,53.803,6.277,1.072
29.988,37.616,54.382,6.245,1.073
30.088,37.836,54.968,6.248,1.073
30.188,38.054,55.549,6.237,1.073
30.288,38.277,56.143,6.265,1.072
30.388,38.696,57.101,6.443,1.083
30.488,38.923,57.705,6.422,1.084
