t_s,x_m,y_m,v,k
13.398,-0.011,0.028,0.000,1.000
13.697,-0.011,0.028,0.000,1.000
13.797,-0.011,0.028,0.000,1.000
13.998,-0.011,0.028,0.000,1.000
14.098,-0.011,0.028,0.000,1.000
17.598,0.026,-0.453,3.301,1.000
17.698,0.026,-0.453,2.899,1.000
17.797,0.026,-0.453,2.699,1.000
17.898,0.026,-0.453,2.561,1.000
17.997,0.026,-0.453,2.485,1.000
18.098,0.026,-0.453,2.445,1.000
18.198,0.026,-0.453,2.481,1.000
18.297,0.028,-1.075,2.548,1.000
18.398,-0.069,-1.316,2.619,1.000
18.497,-0.169,-1.566,2.678,1.000
18.598,-0.272,-1.822,2.730,1.000
18.698,-0.377,-2.083,2.772,1.000
18.797,-0.483,-2.347,2.807,1.000
18.898,-0.592,-2.618,2.854,1.000
18.997,-0.702,-2.893,2.898,1.000
19.098,-0.819,-3.184,2.996,1.000
19.198,-0.935,-3.474,3.043,1.000
19.297,-1.209,-4.469,3.258,1.000
19.398,-1.328,-4.765,3.228,1.000
19.497,-1.447,-5.063,3.220,1.000
19.598,-1.568,-5.364,3.233,1.000
19.698,-1.691,-5.669,3.255,1.000
19.797,-1.816,-5.980,3.292,1.000
19.898,-1.941,-6.292,3.319,1.000
19.997,-2.068,-6.609,3.356,1.000
20.098,-2.201,-6.940,3.437,1.000
20.198,-2.334,-7.269,3.480,1.000
20.297,-2.744,-8.036,3.522,1.000
20.398,-2.875,-8.364,3.526,1.000
20.497,-3.121,-8.935,3.556,1.000
20.598,-3.268,-9.265,3.580,1.000
20.698,-3.415,-9.596,3.597,1.000
20.797,-3.560,-9.922,3.588,1.000
20.898,-3.707,-10.253,3.598,1.000
20.997,-3.851,-10.577,3.581,1.000
21.098,-3.998,-10.907,3.593,1.000
21.198,-4.142,-11.232,3.577,1.000
21.297,-4.655,-11.829,3.564,1.000
21.398,-4.799,-12.154,3.560,1.001
21.497,-4.944,-12.479,3.561,1.001
21.598,-5.088,-12.804,3.558,1.001
21.698,-5.233,-13.129,3.556,1.002
21.797,-5.374,-13.447,3.520,1.004
21.898,-5.514,-13.763,3.492,1.005
21.997,-5.659,-14.088,3.519,1.004
22.098,-5.804,-14.415,3.543,1.004
22.198,-5.949,-14.741,3.557,1.003
22.297,-6.466,-15.299,3.630,1.011
22.398,-6.613,-15.629,3.619,1.012
22.497,-6.763,-15.966,3.663,1.010
22.598,-6.913,-16.304,3.688,1.010
22.698,-7.066,-16.648,3.725,1.009
22.797,-7.218,-16.991,3.742,1.009
22.898,-7.369,-17.330,3.724,1.009
22.997,-7.519,-17.667,3.709,1.009
23.098,-7.669,-18.005,3.706,1.009
23.198,-8.637,-19.651,3.734,1.009
23.297,-9.396,-19.958,3.945,1.030
23.398,-9.622,-20.258,3.916,1.030
23.497,-9.854,-20.567,3.905,1.030
23.598,-10.087,-20.876,3.899,1.030
23.698,-10.323,-21.190,3.906,1.030
23.797,-10.559,-21.504,3.911,1.030
23.898,-10.796,-21.819,3.920,1.030
23.997,-11.028,-22.127,3.899,1.030
24.098,-11.266,-22.443,3.918,1.030
24.198,-11.504,-22.759,3.931,1.030
24.297,-12.279,-22.920,4.018,1.030
24.398,-12.519,-23.239,4.009,1.031
24.497,-12.759,-23.559,4.004,1.032
24.598,-13.000,-23.879,4.008,1.032
24.698,-13.242,-24.200,4.010,1.032
24.797,-13.483,-24.521,4.014,1.031
24.898,-14.777,-25.849,4.036,1.031
24.997,-15.097,-26.105,4.060,1.030
25.098,-15.427,-26.370,4.129,1.029
25.198,-15.757,-26.636,4.173,1.029
25.297,-16.415,-26.599,4.226,1.030
25.398,-16.747,-26.866,4.248,1.029
25.497,-17.078,-27.132,4.249,1.029
25.598,-17.414,-27.402,4.283,1.029
