run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
1,AB,kfpsic,c10,10.0,-0.032,0.042,-0.032,92,4.43,5.85,10.72,7.92,1.14,9.06,101.99,3.82,5.17,6.38
1,AB,kfpsic,c30,30.0,-0.032,0.042,-0.032,72,2.52,4.62,11.67,5.22,1.15,6.37,81.99,1.91,4.03,7.19
1,AB,kfpsic,c60,60.0,-0.032,0.042,-0.032,42,4.82,5.29,8.35,4.32,2.37,6.69,51.99,4.65,5.08,4.18
1,AB,kfpsic,turn,31.5,-0.032,0.042,-0.032,71,2.54,4.65,11.67,6.42,-0.05,6.37,80.46,1.97,4.05,7.04
1,AB,kfc,c10,10.0,-0.026,0.042,-0.032,92,4.11,5.53,10.17,7.37,1.09,8.46,101.99,3.5,4.85,5.83
1,AB,kfc,c30,30.0,0.044,0.042,-0.032,72,-0.91,3.24,12.85,0.15,0.27,0.42,81.99,-1.52,2.86,2.13
1,AB,kfc,c60,60.0,-0.014,0.042,-0.032,42,3.84,4.36,7.16,3.66,1.71,5.38,51.99,3.67,4.14,3.53
1,AB,kfc,turn,31.5,0.044,0.042,-0.032,71,-0.93,3.26,12.85,1.42,-1.0,0.42,80.46,-1.5,2.86,2.05
2,BA,kfpsic,c10,10.0,-0.015,-0.031,-0.015,82,-0.51,2.27,11.37,-2.79,0.71,-2.08,85.21,-0.37,1.33,0.03
2,BA,kfpsic,c30,30.0,-0.015,-0.031,-0.015,62,-0.41,2.49,11.08,-2.7,0.91,-1.79,65.21,-0.17,1.44,0.04
2,BA,kfpsic,c60,60.0,-0.015,-0.031,-0.015,32,-0.79,3.09,10.91,0.69,-2.31,-1.62,35.21,0.19,1.58,-1.62
2,BA,kfpsic,turn,60.9,-0.015,-0.031,-0.015,32,-0.79,3.09,10.91,0.69,-2.31,-1.62,34.26,0.19,1.58,-1.62
2,BA,kfc,c10,10.0,0.02,-0.031,-0.015,82,-2.03,3.28,13.26,-5.47,0.52,-4.95,85.21,-1.9,2.47,-2.66
2,BA,kfc,c30,30.0,-0.021,-0.031,-0.015,62,-0.29,2.45,10.96,-2.38,0.86,-1.51,65.21,-0.05,1.43,0.36
2,BA,kfc,c60,60.0,-0.015,-0.031,-0.015,32,-1.23,3.24,11.35,0.68,-2.75,-2.07,35.21,-0.25,1.59,-1.62
2,BA,kfc,turn,60.9,-0.015,-0.031,-0.015,32,-1.23,3.24,11.35,0.68,-2.75,-2.07,34.26,-0.25,1.59,-1.62
3,AB,kfpsic,c10,10.0,-0.026,-0.053,-0.026,82,-0.52,2.71,11.2,2.91,-0.92,1.99,91.73,-0.44,1.36,0.83
3,AB,kfpsic,c30,30.0,-0.026,-0.053,-0.026,62,-0.37,2.85,11.04,3.44,-1.28,2.16,71.73,-0.07,1.33,0.14
3,AB,kfpsic,c60,60.0,-0.026,-0.053,-0.026,32,-0.04,2.24,5.14,4.82,-1.96,2.86,41.73,0.72,1.39,0.64
3,AB,kfpsic,turn,29.6,-0.026,-0.053,-0.026,63,-0.28,2.91,11.04,2.29,-0.13,2.16,72.1,-0.09,1.33,0.33
3,AB,kfc,c10,10.0,-0.032,-0.053,-0.026,82,-0.26,2.67,11.05,3.35,-0.88,2.47,91.73,-0.18,1.35,1.26
3,AB,kfc,c30,30.0,-0.034,-0.053,-0.026,62,-0.02,2.82,10.9,3.87,-1.15,2.73,71.73,0.28,1.38,0.58
3,AB,kfc,c60,60.0,-0.044,-0.053,-0.026,32,0.33,2.38,5.03,5.3,-1.83,3.47,41.73,1.09,1.65,1.12
3,AB,kfc,turn,29.6,-0.034,-0.053,-0.026,63,0.07,2.89,10.9,2.73,-0.0,2.73,72.1,0.26,1.38,0.77
4,BA,kfpsic,c10,10.0,-0.031,-0.038,-0.031,73,-1.23,2.69,11.09,-2.19,0.03,-2.15,76.58,-1.24,1.79,0.89
4,BA,kfpsic,c30,30.0,-0.031,-0.038,-0.031,53,-1.29,2.99,10.91,-0.3,-1.68,-1.98,56.58,-1.19,1.87,0.93
4,BA,kfpsic,c60,60.0,-0.031,-0.038,-0.031,22,-1.0,2.09,5.41,-1.83,0.12,-1.72,26.58,-0.46,1.08,1.28
4,BA,kfpsic,turn,55.0,-0.031,-0.038,-0.031,27,-1.2,3.47,10.65,0.4,-2.12,-1.72,31.55,-0.49,1.06,0.8
4,BA,kfc,c10,10.0,-0.007,-0.038,-0.031,73,-2.11,3.28,12.19,-3.76,-0.06,-3.81,76.58,-2.11,2.51,-0.67
4,BA,kfc,c30,30.0,-0.023,-0.038,-0.031,53,-1.36,3.03,10.98,-0.65,-1.57,-2.22,56.58,-1.27,1.89,0.58
4,BA,kfc,c60,60.0,-0.032,-0.038,-0.031,22,-0.91,2.04,5.48,-1.81,0.19,-1.62,26.58,-0.37,1.05,1.3
4,BA,kfc,turn,55.0,-0.032,-0.038,-0.031,27,-1.12,3.44,10.58,0.43,-2.05,-1.62,31.55,-0.41,1.03,0.83
5,AB,kfpsic,c10,10.0,-0.016,-0.03,-0.016,80,0.3,2.5,7.28,1.35,0.33,1.69,84.07,0.45,1.45,0.56
5,AB,kfpsic,c30,30.0,-0.016,-0.03,-0.016,60,-0.36,2.41,6.84,4.68,-3.47,1.2,64.07,0.1,1.45,-0.49
5,AB,kfpsic,c60,60.0,-0.016,-0.03,-0.016,30,0.63,2.11,6.38,1.63,0.25,1.88,34.07,1.22,1.75,0.24
5,AB,kfpsic,turn,26.9,-0.016,-0.03,-0.016,64,-0.11,2.7,6.84,-0.51,1.71,1.2,67.19,0.04,1.46,0.84
5,AB,kfc,c10,10.0,-0.014,-0.03,-0.016,80,0.23,2.49,7.24,1.24,0.32,1.56,84.07,0.38,1.43,0.46
5,AB,kfc,c30,30.0,0.004,-0.03,-0.016,60,-1.18,2.6,7.09,3.59,-3.74,-0.15,64.07,-0.72,1.58,-1.58
5,AB,kfc,c60,60.0,-0.03,-0.03,-0.016,30,1.12,2.34,6.7,1.98,0.56,2.55,34.07,1.71,2.13,0.6
5,AB,kfc,turn,26.9,0.004,-0.03,-0.016,64,-0.88,2.85,7.09,-1.67,1.52,-0.15,67.19,-0.74,1.59,-0.32
6,BA,kfpsic,c10,10.0,-0.014,-0.008,-0.014,74,-0.58,3.51,18.49,-1.88,0.08,-1.79,77.59,-0.67,1.97,0.44
6,BA,kfpsic,c30,30.0,-0.014,-0.008,-0.014,54,-1.74,4.31,19.47,-0.59,-2.18,-2.77,57.59,-1.91,2.77,0.88
6,BA,kfpsic,c60,60.0,-0.014,-0.008,-0.014,24,0.22,3.1,8.79,-7.2,5.36,-1.84,27.59,-0.26,0.98,0.21
6,BA,kfpsic,turn,56.6,-0.014,-0.008,-0.014,28,-0.93,5.36,18.54,1.67,-3.5,-1.84,31.02,-0.5,2.54,1.04
6,BA,kfc,c10,10.0,0.0,-0.008,-0.014,74,-1.12,3.67,19.19,-2.85,0.03,-2.82,77.59,-1.21,2.24,-0.54
6,BA,kfc,c30,30.0,0.039,-0.008,-0.014,54,-3.03,5.04,20.83,-3.13,-2.21,-5.34,57.59,-3.19,3.76,-1.66
6,BA,kfc,c60,60.0,-0.001,-0.008,-0.014,24,-0.35,3.17,8.35,-7.44,4.91,-2.53,27.59,-0.84,1.25,-0.04
6,BA,kfc,turn,56.6,-0.001,-0.008,-0.014,28,-1.48,5.48,18.94,1.37,-3.91,-2.53,31.02,-1.04,2.68,0.75
7,AB,kfpsic,c10,10.0,-0.014,-0.05,-0.014,79,-0.75,3.72,17.42,-0.17,0.29,0.12,81.98,-0.59,2.16,-0.62
7,AB,kfpsic,c30,30.0,-0.014,-0.05,-0.014,59,-1.17,3.2,13.74,6.48,-6.21,0.26,61.98,-0.57,1.58,-0.71
7,AB,kfpsic,c60,60.0,-0.014,-0.05,-0.014,29,-0.63,1.77,3.74,2.57,-1.74,0.84,31.98,-0.0,1.0,-0.18
7,AB,kfpsic,turn,26.7,-0.014,-0.05,-0.014,63,-0.6,4.04,17.56,-3.18,3.44,0.26,65.26,-0.36,2.32,-3.06
7,AB,kfc,c10,10.0,-0.012,-0.05,-0.014,79,-0.87,3.75,17.35,-0.35,0.26,-0.09,81.98,-0.71,2.2,-0.8
7,AB,kfc,c30,30.0,-0.025,-0.05,-0.014,59,-0.8,3.11,13.68,7.04,-6.13,0.91,61.98,-0.21,1.5,-0.15
7,AB,kfc,c60,60.0,-0.033,-0.05,-0.014,29,-0.14,1.73,3.5,3.02,-1.47,1.55,31.98,0.49,1.11,0.26
7,AB,kfc,turn,26.7,-0.025,-0.05,-0.014,63,-0.26,3.98,17.6,-2.58,3.49,0.91,65.26,-0.01,2.28,-2.46
9,BA,kfpsic,c10,10.0,-0.008,-0.012,-0.008,80,0.23,2.48,9.34,-0.77,1.02,0.25,82.78,0.24,1.43,1.37
9,BA,kfpsic,c30,30.0,-0.008,-0.012,-0.008,60,-0.23,2.71,9.65,0.11,-0.17,-0.06,62.78,-0.18,1.46,1.03
9,BA,kfpsic,c60,60.0,-0.008,-0.012,-0.008,29,-0.82,3.54,9.97,2.89,-3.26,-0.37,32.78,-0.01,1.43,-0.62
9,BA,kfpsic,turn,61.5,-0.008,-0.012,-0.008,28,-0.93,3.58,9.97,1.91,-2.28,-0.37,31.28,-0.05,1.45,-0.24
9,BA,kfc,c10,10.0,0.011,-0.012,-0.008,80,-0.53,2.63,10.37,-2.19,0.97,-1.23,82.78,-0.53,1.56,-0.05
9,BA,kfc,c30,30.0,-0.017,-0.012,-0.008,60,-0.08,2.69,9.47,0.57,-0.25,0.32,62.78,-0.04,1.48,1.49
9,BA,kfc,c60,60.0,-0.005,-0.012,-0.008,29,-1.07,3.6,10.17,2.8,-3.47,-0.66,32.78,-0.26,1.46,-0.7
9,BA,kfc,turn,61.5,-0.005,-0.012,-0.008,28,-1.18,3.65,10.17,1.83,-2.49,-0.66,31.28,-0.3,1.48,-0.32
10,AB,kfpsic,c10,10.0,-0.024,-0.04,-0.024,57,1.26,3.01,10.59,3.05,0.25,3.3,59.46,0.8,4.88,-1.4
10,AB,kfpsic,c30,30.0,-0.024,-0.04,-0.024,37,0.75,2.77,6.38,4.38,-1.49,2.89,39.46,-1.71,2.89,-1.73
10,AB,kfpsic,turn,21.3,-0.024,-0.04,-0.024,45,1.08,3.12,10.19,0.43,2.46,2.89,48.11,-0.28,4.77,-5.07
10,AB,kfc,c10,10.0,-0.028,-0.04,-0.024,57,1.4,3.08,10.67,3.26,0.28,3.54,59.46,0.94,4.88,-1.19
10,AB,kfc,c30,30.0,-0.017,-0.04,-0.024,37,0.53,2.69,6.48,4.16,-1.6,2.56,39.46,-1.93,3.02,-1.95
10,AB,kfc,turn,21.3,-0.017,-0.04,-0.024,45,0.88,3.06,10.14,0.15,2.41,2.56,48.11,-0.47,4.82,-5.35
11,BA,kfpsic,c10,10.0,-0.006,-0.039,-0.006,49,-2.31,3.04,6.79,-1.34,-1.79,-3.13,51.6,-1.0,7.26,-5.37
11,BA,kfpsic,c30,30.0,-0.006,-0.039,-0.006,29,-1.38,2.4,5.32,1.24,-2.89,-1.66,31.6,-2.36,7.94,-3.8
11,BA,kfpsic,turn,37.2,-0.006,-0.039,-0.006,21,-1.05,2.05,4.62,-1.19,-0.47,-1.66,24.4,-2.67,8.42,-6.39
11,BA,kfc,c10,10.0,-0.028,-0.039,-0.006,49,-1.73,2.58,6.22,-0.39,-1.68,-2.08,51.6,-0.42,7.07,-4.42
11,BA,kfc,c30,30.0,-0.079,-0.039,-0.006,29,0.34,2.12,5.45,2.93,-2.0,0.92,31.6,-0.65,7.44,-2.11
11,BA,kfc,turn,37.2,-0.079,-0.039,-0.006,21,0.95,1.92,5.45,-0.07,0.99,0.92,24.4,-0.67,7.83,-5.26
12,AB,kfpsic,c10,10.0,0.018,-0.028,0.018,58,-1.49,3.72,13.52,0.28,-0.72,-0.44,59.61,-0.05,3.13,2.22
12,AB,kfpsic,c30,30.0,0.018,-0.028,0.018,38,-1.93,3.25,9.41,-0.01,-1.06,-1.06,39.61,-0.3,3.2,2.43
12,AB,kfpsic,turn,21.7,0.018,-0.028,0.018,46,-2.16,4.19,14.14,0.55,-1.61,-1.06,47.89,-0.68,3.2,3.7
12,AB,kfc,c10,10.0,0.011,-0.028,0.018,58,-1.26,3.63,13.37,0.63,-0.66,-0.03,59.61,0.18,3.17,2.57
12,AB,kfc,c30,30.0,0.029,-0.028,0.018,38,-2.34,3.51,9.21,-0.38,-1.28,-1.66,39.61,-0.71,3.22,2.05
12,AB,kfc,turn,21.7,0.029,-0.028,0.018,46,-2.52,4.38,14.29,0.07,-1.73,-1.66,47.89,-1.04,3.23,3.23
13,BA,kfpsic,c10,10.0,-0.017,0.021,-0.017,53,0.1,2.74,10.52,0.28,-0.32,-0.04,59.65,-0.69,4.16,3.52
13,BA,kfpsic,c30,30.0,-0.017,0.021,-0.017,33,-0.75,3.42,11.29,0.39,-1.2,-0.81,39.65,-2.39,4.68,2.5
13,BA,kfpsic,turn,39.7,-0.017,0.021,-0.017,24,-0.62,3.78,11.29,1.33,-2.14,-0.81,29.95,-1.59,4.13,2.1
13,BA,kfc,c10,10.0,0.04,0.021,-0.017,53,-1.61,3.27,12.46,-2.43,-0.69,-3.12,59.65,-2.4,4.86,0.82
13,BA,kfc,c30,30.0,0.029,0.021,-0.017,33,-1.44,3.61,11.7,-0.89,-1.25,-2.14,39.65,-3.07,4.98,1.22
13,BA,kfc,turn,39.7,0.029,0.021,-0.017,24,-1.51,4.01,11.7,0.46,-2.6,-2.14,29.95,-2.48,4.5,1.23
14,AB,kfpsic,c10,10.0,-0.055,-0.038,-0.055,57,4.36,5.44,15.7,1.08,4.53,5.61,59.52,4.55,6.38,-1.17
14,AB,kfpsic,c30,30.0,-0.055,-0.038,-0.055,37,2.32,2.97,4.69,3.05,0.23,3.29,39.52,0.56,3.11,6.33
14,AB,kfpsic,turn,19.6,-0.055,-0.038,-0.055,48,2.03,4.02,13.37,2.27,1.01,3.29,49.91,1.32,4.19,0.04
14,AB,kfc,c10,10.0,-0.053,-0.038,-0.055,57,4.29,5.38,15.66,0.98,4.51,5.49,59.52,4.48,6.33,-1.27
14,AB,kfc,c30,30.0,0.039,-0.038,-0.055,37,-0.99,1.87,5.85,0.13,-1.62,-1.49,39.52,-2.75,3.61,3.41
